"eir","Access","Resistance_Level","Dosage","Fitness","IC50_S","half_life","MKR","Diagnostic","Dosage_2","seed","seasonality","scenario_name","Indicator","Treated_1","Treated_2","Treated_5","Treated_10","Treated_15","Treated_20","Treated_30","Treated_40","Treated_90","Treated_Total","Treated_infect_1","Treated_infect2","Treated_infect5","Treated_infect10","Treated_infect15","Treated_infect20","Treated_infect30","Treated_infect40","Treated_infect90","Treated_infectTotal"
5,0.1,1,1,1,0.01,21,3.45,20,30,1,"sesonality1","scenario_1_1.txt",NA,0.0148529745170469,0.0282810371700856,0.030925037153015,0.0274747158604292,0.0218938657632113,0.0181137621344462,0.0134752958153861,0.00857754482003622,0.00412542032517496,0.0171109289617486,0.0960359457751244,0.0872170863296713,0.085527164368858,0.0583861910973651,0.0374326813926147,0.0277061308130848,0.0190273118633311,0.0119369056129912,0.00590985614996831,0.0296251126155008
10,0.1,1,1,1,0.01,21,3.45,20,30,1,"sesonality1","scenario_2_1.txt",NA,0.0265773769970379,0.0456840888656834,0.0433025700994423,0.0325874787292479,0.0235319360435932,0.0170805542505533,0.0118810980515378,0.00677748802578201,0.00284863495456804,0.019624043715847,0.103599490896384,0.0982883830816666,0.0809680919528516,0.0498627185680227,0.0313567149710592,0.0210929973661998,0.0141417973280772,0.00801407796295192,0.00351779562725578,0.0271834413813932
15,0.1,1,1,1,0.01,21,3.45,20,30,1,"sesonality1","scenario_3_1.txt",NA,0.0317819238397881,0.0567534709600425,0.0469929843653801,0.0322740424081318,0.0227975446444826,0.0162277339646662,0.0106176884886908,0.00590875427836096,0.00256445665453822,0.0200382513661202,0.0976672260552098,0.103205768664195,0.0747094559745183,0.043622632089502,0.0278310947780065,0.0188625578915919,0.0119997310538406,0.00670318277448917,0.00307415647414527,0.0257225358188891
20,0.1,1,1,1,0.01,21,3.45,20,30,1,"sesonality1","scenario_4_1.txt",NA,0.0363209825732979,0.0614916723204461,0.0515446344425001,0.0331482988965669,0.0212181238952424,0.0151293448297073,0.00965372156597222,0.00532982801098356,0.00210252607471676,0.0203781420765027,0.0999143767008904,0.102338909724349,0.0758971384042321,0.0424233828208877,0.0249480850932714,0.0171401718338785,0.01071632537026,0.0059845651457254,0.00251183607228916,0.0253486120202149
25,0.1,1,1,1,0.01,21,3.45,20,30,1,"sesonality1","scenario_5_1.txt",NA,0.0415059543539219,0.0676036785645562,0.053026372903158,0.033457489194727,0.0208154970711803,0.0145804095158741,0.00844118998116166,0.00452272791284888,0.0018849659257175,0.0206109289617486,0.105686012697898,0.108156756774439,0.075059086255432,0.0415267458628069,0.0239151942877405,0.0162963009180128,0.00927617286421734,0.00501610724840308,0.00227194075665436,0.0251984046107524
30,0.1,1,1,1,0.01,21,3.45,20,30,1,"sesonality1","scenario_6_1.txt",NA,0.0445541112309027,0.0713723830747138,0.0550026324416539,0.0328882244333607,0.020290069841464,0.0136137622426837,0.00860618268094402,0.00420802964355773,0.0017189886731635,0.0208071038251366,0.103732768480233,0.109138073065129,0.0747011218135805,0.039532748704162,0.0228342687987026,0.0149121474792444,0.00933214523145798,0.00465589041946035,0.00208395320828875,0.0249778429302587
40,0.1,1,1,1,0.01,21,3.45,20,30,1,"sesonality1","scenario_7_1.txt",NA,0.0481535079043885,0.0745862702306779,0.0563338086513339,0.0329621210538642,0.019741480335929,0.0128478332495888,0.0076598342536608,0.00356645176389403,0.0015396953595678,0.0208371584699454,0.102759041764653,0.107844333854623,0.0728077180405769,0.0384969208318033,0.0218531521859393,0.0139097100878601,0.00824538675984911,0.00393163102853984,0.00190914451025482,0.0246642670625241
50,0.1,1,1,1,0.01,21,3.45,20,30,1,"sesonality1","scenario_8_1.txt",NA,0.0528413901033813,0.0775277820228295,0.0570287989041391,0.0325879587309136,0.0188133951119009,0.0124600736953155,0.00689977756442119,0.00336737189690552,0.00166036430538165,0.020924043715847,0.106667440678865,0.10785662854515,0.0717401639870214,0.037344669375475,0.020593261046009,0.0134191704951876,0.00742877177823751,0.00375211432063501,0.00211128669917282,0.0246448365173939
75,0.1,1,1,1,0.01,21,3.45,20,30,1,"sesonality1","scenario_9_1.txt",NA,0.05741013427046,0.0821013720340304,0.058315785947737,0.0320696673132526,0.0182034928317205,0.0110172419889988,0.00589430728156908,0.00296117896839941,0.00149176373172037,0.0209043715846995,0.105736864508967,0.109375274357603,0.0707599805057981,0.0359544192359776,0.0196648119142512,0.011770515810453,0.00633981235277847,0.00338347961449116,0.00200273886452468,0.024553890834425
100,0.1,1,1,1,0.01,21,3.45,20,30,1,"sesonality1","scenario_10_1.txt",NA,0.0632442582679376,0.0878367959987778,0.0617631004386269,0.0315252360160887,0.0171141658359837,0.0103450373660955,0.0055480939167705,0.00264134627019651,0.00160243625392556,0.0213814207650273,0.109767946428986,0.113747309468976,0.0735202578485038,0.0347635151438791,0.0183039490022183,0.0109931949040741,0.00601711963588764,0.00308391109900409,0.00219566038468275,0.0250523311730743
