"eir","Access","Dosage","Indicator","Number_mutation","esthablish","Pe","drug"
"10",0.5,"0",0.205094490484233,1834,300,0.163576881134133,"B"
"10",0.5,"0",0.357156525172981,1474,300,0.203527815468114,"B"
"10",0.5,"0",0.363643868877153,1293,300,0.232018561484919,"B"
"10",0.5,"0",0.437436740836296,1157,300,0.259291270527226,"B"
"10",0.5,"0",0.507857988010746,1109,300,0.270513976555455,"B"
"10",0.5,"0",0.580997642984342,999,300,0.3003003003003,"B"
"10",0.5,"0",0.652956164405638,971,300,0.308959835221421,"B"
"500",0.5,"0",0.00455047826269319,72869,300,0.00411697704099137,"B"
"500",0.5,"0",0.0754497120870842,6404,300,0.0468457214241099,"B"
"500",0.5,"0",0.14702569197528,3946,300,0.0760263558033452,"B"
"500",0.5,"0",0.2213227831045,2425,300,0.123711340206186,"B"
"500",0.5,"0",0.235937053043169,2378,300,0.126156433978133,"B"
"500",0.5,"0",0.376100995621693,1463,300,0.205058099794942,"B"
"500",0.5,"0",0.435473758506528,1421,300,0.211118930330753,"B"
"500",0.5,"0",0.503345685764693,1108,300,0.270758122743682,"B"
"500",0.5,"0",0.57733484082101,1021,300,0.29382957884427,"B"
"500",0.5,"0",0.646086404022515,1027,300,0.292112950340798,"B"
"5",0.5,"1",0.00103382510739507,76266,271,0.00355335273909737,"B"
"5",0.5,"1",0.0708560443616248,5836,300,0.0514050719671008,"B"
"5",0.5,"1",0.110757357493381,3610,300,0.0831024930747922,"B"
"5",0.5,"1",0.219340762894732,1816,300,0.165198237885463,"B"
"5",0.5,"1",0.282770433005563,1747,300,0.171722953634803,"B"
"5",0.5,"1",0.351801358408803,1287,300,0.233100233100233,"B"
"5",0.5,"1",0.423480505543419,1115,300,0.269058295964126,"B"
"5",0.5,"1",0.49445399689186,1023,300,0.293255131964809,"B"
"5",0.5,"1",0.566613096160737,927,300,0.323624595469256,"B"
"5",0.5,"1",0.635130847766778,860,300,0.348837209302326,"B"
"10",0.5,"1",0.00121104816386203,70694,291,0.00411633236201092,"B"
"10",0.5,"1",0.069408911075008,5872,300,0.0510899182561308,"B"
"10",0.5,"1",0.13566053079794,3218,300,0.0932256059664388,"B"
"10",0.5,"1",0.200223469811366,2193,300,0.136798905608755,"B"
"10",0.5,"1",0.278775117199282,1578,300,0.190114068441065,"B"
"10",0.5,"1",0.345733449892618,1441,300,0.208188757807078,"B"
"10",0.5,"1",0.416381817465507,1314,300,0.228310502283105,"B"
"10",0.5,"1",0.486559136500295,1141,300,0.262927256792287,"B"
"10",0.5,"1",0.550509056879782,1055,300,0.28436018957346,"B"
"10",0.5,"1",0.624509847597773,976,300,0.307377049180328,"B"
"500",0.5,"1",0.00240719158884175,64982,300,0.00461666307592872,"B"
"500",0.5,"1",0.0652968426038015,7102,300,0.0422416220782878,"B"
"500",0.5,"1",0.129254599917592,4109,300,0.0730104648332928,"B"
"500",0.5,"1",0.192086249998994,2923,300,0.10263427984947,"B"
"500",0.5,"1",0.244177138429273,2551,300,0.117600940807526,"B"
"500",0.5,"1",0.318322871234879,1653,300,0.181488203266788,"B"
"500",0.5,"1",0.382091063889521,1554,300,0.193050193050193,"B"
"500",0.5,"1",0.448074563140758,1411,300,0.212615166548547,"B"
"500",0.5,"1",0.509055222018559,1310,300,0.229007633587786,"B"
"500",0.5,"1",0.570503077221009,1161,300,0.258397932816537,"B"
"5",0.5,"0",0.0368657027842308,7740,300,0.0387596899224806,"A+B"
"5",0.5,"0",0.0852643405090476,3325,300,0.0902255639097744,"A+B"
"5",0.5,"0",0.119715092415259,2677,300,0.112065745237206,"A+B"
"5",0.5,"0",0.16653181972406,2013,300,0.14903129657228,"A+B"
"5",0.5,"0",0.212273581617006,1462,300,0.205198358413133,"A+B"
"5",0.5,"0",0.255241713799805,1395,300,0.21505376344086,"A+B"
"5",0.5,"0",0.297700863539487,1415,300,0.212014134275618,"A+B"
"5",0.5,"0",0.339640158818485,1346,300,0.222882615156018,"A+B"
"5",0.5,"0",0.386694491555506,1162,300,0.258175559380379,"A+B"
"5",0.5,"0",0.427562061080696,1053,300,0.284900284900285,"A+B"
"10",0.5,"0",0.0341486663736559,9759,300,0.0307408545957578,"A+B"
"10",0.5,"0",0.0735094264665705,4122,300,0.0727802037845706,"A+B"
"10",0.5,"0",0.111319579313596,2729,300,0.109930377427629,"A+B"
"10",0.5,"0",0.146504720277408,2294,300,0.13077593722755,"A+B"
"10",0.5,"0",0.186468081946603,1794,300,0.167224080267559,"A+B"
"10",0.5,"0",0.224269079937336,1604,300,0.187032418952618,"A+B"
"10",0.5,"0",0.261722061092366,1540,300,0.194805194805195,"A+B"
"10",0.5,"0",0.300202690686714,1524,300,0.196850393700787,"A+B"
"10",0.5,"0",0.339922426228787,1315,300,0.228136882129278,"A+B"
"10",0.5,"0",0.376314314336075,1309,300,0.229182582123759,"A+B"
"500",0.5,"0",0.00328134765108543,15526,300,0.0193224268968182,"A+B"
"500",0.5,"0",0.0336749488065584,9304,300,0.032244196044712,"A+B"
"500",0.5,"0",0.0685791124233668,4635,300,0.0647249190938511,"A+B"
"500",0.5,"0",0.101937291130382,3194,300,0.0939261114589856,"A+B"
"500",0.5,"0",0.135240991625503,2323,300,0.12914334911752,"A+B"
"500",0.5,"0",0.168942645457536,2219,300,0.135196034249662,"A+B"
"500",0.5,"0",0.202292121570669,2069,300,0.14499758337361,"A+B"
"500",0.5,"0",0.236253717814085,1996,300,0.150300601202405,"A+B"
"500",0.5,"0",0.27014644177822,1601,300,0.18738288569644,"A+B"
"500",0.5,"0",0.303588855461787,1661,300,0.180614087898856,"A+B"
"5",0.5,"1",-0.00354386499864218,106293,0,0,"A+B"
"5",0.5,"1",0.0406304911316223,7559,300,0.039687789390131,"A+B"
"5",0.5,"1",0.0946316141946767,3165,300,0.0947867298578199,"A+B"
"5",0.5,"1",0.139891485020408,2597,300,0.115517905275318,"A+B"
"5",0.5,"1",0.186523717250697,1850,300,0.162162162162162,"A+B"
"5",0.5,"1",0.234211352040106,1454,300,0.206327372764787,"A+B"
"5",0.5,"1",0.280989053543794,1336,300,0.224550898203593,"A+B"
"5",0.5,"1",0.327811804973755,1258,300,0.238473767885533,"A+B"
"5",0.5,"1",0.377233260397689,1070,300,0.280373831775701,"A+B"
"5",0.5,"1",0.42134036997911,1121,300,0.267618198037467,"A+B"
"10",0.5,"1",0.00095234050656889,44871,88,0.00196117759800316,"A+B"
"10",0.5,"1",0.0411576749046136,6470,300,0.0463678516228748,"A+B"
"10",0.5,"1",0.0810854674252522,3724,300,0.0805585392051558,"A+B"
"10",0.5,"1",0.123110302030148,2587,300,0.115964437572478,"A+B"
"10",0.5,"1",0.164106984574512,2125,300,0.141176470588235,"A+B"
"10",0.5,"1",0.204562099809026,1750,300,0.171428571428571,"A+B"
"10",0.5,"1",0.246055867376777,1583,300,0.189513581806696,"A+B"
"10",0.5,"1",0.288476873964192,1333,300,0.225056264066017,"A+B"
"10",0.5,"1",0.324832855834313,1294,300,0.231839258114374,"A+B"
"10",0.5,"1",0.368541131818346,1297,300,0.23130300693909,"A+B"
"500",0.5,"1",-2.66753173599398e-05,153908,14,9.09634327000546e-05,"A+B"
"500",0.5,"1",0.0319878765260418,9302,300,0.0322511287895076,"A+B"
"500",0.5,"1",0.0686060295182117,4987,300,0.060156406657309,"A+B"
"500",0.5,"1",0.101050972240155,3334,300,0.0899820035992801,"A+B"
"500",0.5,"1",0.133833050679444,2689,300,0.111565637783563,"A+B"
"500",0.5,"1",0.167557990309163,2017,300,0.14873574615766,"A+B"
"500",0.5,"1",0.201286389080302,1912,300,0.156903765690377,"A+B"
"500",0.5,"1",0.232976093030579,1946,300,0.154162384378212,"A+B"
"500",0.5,"1",0.263966000091166,1812,300,0.165562913907285,"A+B"
"500",0.5,"1",0.301716860430745,1619,300,0.185299567634342,"A+B"
