"Survey","nHost","nInfect","nExpectd","nPatent","nTransmit","nTreatments1","nUncomp","innoculationsPerAgeGroup","innoculationsPerAgeGroup_2","Vector_Nv","Vector_Nv_2","inputEIR","simulatedEIR","nMDAs","nMassScreenings","nTreatDiagnostics","nInfectByGenotype","nInfectByGenotype_2","nPatentByGenotype","nPatentByGenotype_2","nHostDrugConcNonZero","nHostDrugConcNonZero_2","nHostDrugConcNonZero_3","sumLogDrugConcNonZero","sumLogDrugConcNonZero_2","sumLogDrugConcNonZero_3","Inoculation_S","Inoculation_R","Infection_S","Infection_R","Patent_S","Patent_R"
1,1e+05,78700,97584.6,38917,0.0347757,0,0,0,0,9043.96,80332.1,0,0,0,0,0,61870,61778,15484,15707,0,1357,0,0,-25404.1,0,0,0,0.500372023809524,0.499627976190476,0.496425250873649,0.503574749126351
2,1e+05,72544,97122.5,23596,0.0180674,2336,6647,6856.09,6865.96,4393.75,28755,0.016734,0.0303132,0,0,2356,53737,54011,7747,7857,0,626,0,0,-11834.2,0,0.499640359858767,0.500359640141233,0.498728514682407,0.501271485317593,0.49647526275314,0.50352473724686
3,1e+05,64398,96682.1,11729,0.0080022,939,3001,1286.98,1299.12,7775.12,39851.1,0.00802331,0.00571287,0,0,952,44303,44382,3341,3340,0,275,0,0,-4939.29,0,0.497652836317234,0.502347163682766,0.499554603371483,0.500445396628517,0.500074839095944,0.499925160904056
4,1e+05,55037,96294.4,4600,0.00243376,260,893,533.779,546.749,29136.2,140453,0.0145702,0.00238692,0,0,268,35343,35378,1100,1128,0,70,0,0,-1225.93,0,0.493998304532599,0.506001695467401,0.499752548747897,0.500247451252103,0.493716337522442,0.506283662477558
5,1e+05,45946,95947.9,2028,0.00079106,101,316,510.337,533.757,98826,489634,0.0543603,0.00230643,0,0,102,28000,27991,491,473,0,37,0,0,-729.76,0,0.488784534725801,0.511215465274199,0.500080370059474,0.499919629940526,0.509336099585062,0.490663900414938
6,1e+05,38652,95629.9,1476,0.000603652,84,273,571.959,617.584,195127,1027850,0.177028,0.00262772,0,0,84,22736,22630,373,393,0,26,0,0,-495.414,0,0.480822467115523,0.519177532884477,0.501168275801261,0.498831724198739,0.486945169712794,0.513054830287206
7,1e+05,33484,95337.1,1407,0.000668449,95,298,879.724,909.116,263865,1443200,0.344277,0.00395158,0,0,97,19173,19152,433,443,0,20,0,0,-386.388,0,0.4917846202008,0.508215379799199,0.50027397260274,0.49972602739726,0.494292237442922,0.505707762557078
8,1e+05,30198,95069.9,1845,0.000999238,119,476,1411.73,1440.39,364161,1969550,0.469575,0.00630038,0,0,122,17004,17024,589,598,0,52,0,0,-944.822,0,0.494975667222978,0.505024332777022,0.499706124368167,0.500293875631833,0.496208930075821,0.503791069924179
9,1e+05,29369,94848.1,2579,0.00139668,187,679,2727.42,2911.81,553108,2974780,0.651148,0.0124572,0,0,190,16456,16470,872,878,0,51,0,0,-915.164,0,0.483651136768672,0.516348863231328,0.499787402053089,0.500212597946911,0.498285714285714,0.501714285714286
10,1e+05,31845,94713.2,4488,0.00250337,366,1295,5977.08,5895.73,604179,3469980,0.974842,0.0262272,0,0,368,17971,17912,1554,1615,0,124,0,0,-2299.04,0,0.50342589496505,0.49657410503495,0.500822116322493,0.499177883677507,0.490375512780057,0.509624487219943
11,1e+05,38295,94723.9,8294,0.00492788,755,2699,11357.7,12219.2,291781,1975980,1.04785,0.0520819,0,0,761,21858,22198,3018,3062,0,284,0,0,-5045.24,0,0.481729998430667,0.518270001569333,0.496141274741238,0.503858725258762,0.496381578947368,0.503618421052632
12,1e+05,44285,94756.4,13466,0.00907583,1437,4702,13909.2,13751.3,62828.8,531013,0.523046,0.0611028,0,0,1453,26105,26109,4895,5070,0,501,0,0,-8585.91,0,0.502854250646228,0.497145749353772,0.499961696096832,0.500038303903168,0.491219267436026,0.508780732563974
13,1e+05,44626,94621.3,15136,0.0115996,1782,5686,7840.03,8046.75,11415.3,103705,0.117733,0.0350943,0,0,1805,26407,26534,5542,5342,0,613,0,0,-11310.5,0,0.493493961646098,0.506506038353902,0.498800551557394,0.501199448442606,0.509187798603455,0.490812201396545
14,1e+05,40420,94348.6,10830,0.008664,1360,3932,2488.73,2525.43,4519.2,31379.3,0.0212183,0.0110764,0,0,1374,23641,23704,3521,3616,0,398,0,0,-7461.44,0,0.4963403640889,0.5036596359111,0.499334671031788,0.500665328968212,0.49334454252487,0.50665545747513
15,1e+05,34065,94042.6,5290,0.00379786,587,1754,614.59,618.716,6557.41,34462.5,0.00824396,0.00272441,0,0,594,19335,19436,1479,1480,0,146,0,0,-2767.76,0,0.498327260225767,0.501672739774233,0.498697480075314,0.501302519924686,0.499831023994593,0.500168976005407
16,1e+05,27558,93743.6,2012,0.00114729,162,487,235.135,242.605,23056.3,111395,0.0122334,0.00105534,0,0,167,15174,15351,581,501,0,36,0,0,-769.067,0,0.492181939967346,0.507818060032654,0.497100737100737,0.502899262899263,0.536968576709797,0.463031423290203
17,1e+05,22166,93456.9,947,0.000387787,58,190,209.402,197.344,83391.3,409740,0.0432262,0.000898508,0,0,58,11997,12040,234,251,0,18,0,0,-419.012,0,0.51482251823005,0.48517748176995,0.499105545617174,0.500894454382826,0.482474226804124,0.517525773195876
18,1e+05,18441,93180.9,681,0.00025671,41,136,236.045,258.666,180714,942296,0.150309,0.00109282,0,0,41,9842,9890,182,181,0,14,0,0,-300.372,0,0.477137156845107,0.522862843154892,0.49878370160146,0.50121629839854,0.50137741046832,0.49862258953168
19,1e+05,15900,92916.3,667,0.000323883,50,159,367.636,387.358,252958,1380030,0.318846,0.00166779,0,0,50,8439,8457,183,214,0,18,0,0,-281.099,0,0.48693896905141,0.51306103094859,0.499467329545455,0.500532670454545,0.46095717884131,0.53904282115869
20,1e+05,14563,92666.7,779,0.000397293,71,231,625.897,648.574,341141,1851780,0.449399,0.00281533,0,0,72,7686,7736,260,254,0,25,0,0,-465.724,0,0.4911033675933,0.5088966324067,0.498378939177798,0.501621060822202,0.505836575875486,0.494163424124514
21,1e+05,14335,92441.4,1231,0.000725787,104,404,1117.93,1143.53,519579,2786940,0.610127,0.00499558,0,0,106,7503,7638,405,434,0,42,0,0,-786.105,0,0.494339939684982,0.505660060315018,0.495541906082822,0.504458093917179,0.482717520858164,0.517282479141836
22,1e+05,16518,92296,2104,0.0011459,211,664,2757.23,2965.97,624261,3522880,0.919244,0.0126426,0,0,212,8677,8839,729,726,0,85,0,0,-1555.9,0,0.481763698630137,0.518236301369863,0.49537565654259,0.50462434345741,0.501030927835052,0.498969072164948
23,1e+05,21617,92279.7,4444,0.00260066,475,1611,5581.25,6160.73,351438,2300280,1.0829,0.0259382,0,0,478,11417,11825,1585,1666,0,176,0,0,-2968.06,0,0.475324434209563,0.524675565790437,0.491222786335083,0.508777213664917,0.48754229467856,0.51245770532144
24,1e+05,28055,92353.5,7818,0.00519225,910,3073,8292.7,8377.31,84092,686608,0.624456,0.0368244,0,0,928,15228,15628,2862,2991,0,338,0,0,-5750.54,0,0.497462209080858,0.502537790919142,0.493518278454758,0.506481721545242,0.488980010251153,0.511019989748847
25,1e+05,30330,92298,10203,0.00811859,1409,4334,5536.3,5986.82,14737.7,135394,0.156914,0.0254548,0,0,1424,16582,17151,3707,3687,0,494,0,0,-8539.06,0,0.480451474947757,0.519548525052243,0.491566122194883,0.508433877805117,0.501352447930755,0.498647552069245
26,1e+05,27990,92082.3,8168,0.00682777,1137,3330,2057.2,2166.87,4831.3,35613.2,0.0275101,0.00933107,0,0,1150,15279,15676,2640,2802,0,345,0,0,-6234.02,0,0.487018444296614,0.512981555703386,0.493587465675981,0.506412534324019,0.485115766262404,0.514884233737597
27,1e+05,23486,91806.8,4172,0.00331881,585,1595,534.778,565.182,5673.97,30758.7,0.00881798,0.00242985,0,0,593,12675,12902,1186,1241,0,155,0,0,-2896.72,0,0.48617949743627,0.51382050256373,0.495562419361145,0.504437580638855,0.488669138854553,0.511330861145447
28,1e+05,18590,91526.4,1628,0.00108228,190,509,183.749,198.964,18243.4,88573.1,0.0105314,0.00084542,0,0,194,9775,10114,408,460,0,57,0,0,-1162.11,0,0.48012218032834,0.51987781967166,0.491477701241892,0.508522298758108,0.470046082949309,0.529953917050691
29,1e+05,14597,91252.9,702,0.000314571,55,170,145.003,153.468,69263.3,337913,0.0343173,0.000659326,0,0,56,7625,7781,158,200,0,15,0,0,-238.063,0,0.485819392838835,0.514180607161165,0.49493703751785,0.50506296248215,0.441340782122905,0.558659217877095
30,1e+05,11792,90987.1,446,0.000208094,35,115,159.764,179.444,165210,852386,0.12571,0.000749317,0,0,35,6076,6227,112,128,0,10,0,0,-204.683,0,0.470991250206363,0.529008749793637,0.49386328537755,0.50613671462245,0.466666666666667,0.533333333333333
31,1e+05,10083,90730.5,420,0.000208714,29,104,228.084,273.977,242404,1316930,0.291743,0.00110906,0,0,29,5156,5316,115,147,0,11,0,0,-188.377,0,0.454295394384348,0.545704605615652,0.492360580595875,0.507639419404125,0.438931297709924,0.561068702290076
32,1e+05,9113,90485.6,517,0.000304856,52,170,345.029,460.431,321110,1748980,0.429892,0.00177927,0,0,53,4640,4781,158,184,0,22,0,0,-445.696,0,0.428362674744866,0.571637325255134,0.492516717970491,0.507483282029509,0.461988304093567,0.538011695906433
33,1e+05,9036,90265.3,733,0.000440985,95,251,683.636,831.046,485092,2599740,0.574138,0.00334595,0,0,96,4551,4772,220,299,0,32,0,0,-443.519,0,0.451339621121793,0.548660378878207,0.488147591976831,0.511852408023169,0.423892100192678,0.576107899807322
34,1e+05,10440,90107.2,1357,0.000837072,167,511,1544.58,1889.28,630876,3508040,0.861135,0.00758544,0,0,169,5178,5624,425,524,0,58,0,0,-1007.88,0,0.44980867012633,0.55019132987367,0.479355674875023,0.520644325124977,0.447839831401475,0.552160168598525
35,1e+05,14972,90101.5,2882,0.00170691,299,1028,3703.45,4620.77,412695,2616990,1.09617,0.0183883,0,0,300,7354,8358,918,1183,0,102,0,0,-1715.39,0,0.444900543234081,0.555099456765919,0.468049898167006,0.531950101832994,0.436934792955735,0.563065207044265
36,1e+05,21008,90217.3,6058,0.00422141,701,2457,5545.03,7196.13,111470,877107,0.727517,0.0281455,0,0,716,10280,12198,2000,2550,0,245,0,0,-4187.19,0,0.435206056591394,0.564793943408606,0.457336061927218,0.542663938072782,0.43956043956044,0.56043956043956
37,1e+05,24374,90256.6,8373,0.00679664,1250,3708,4666.73,6137.29,19371.8,178015,0.206772,0.0238664,0,0,1265,11956,14440,2666,3409,0,455,0,0,-8301.61,0,0.43194385052971,0.56805614947029,0.452947416275193,0.547052583724807,0.438847736625514,0.561152263374486
38,1e+05,23262,90100.1,7423,0.00671791,1175,3494,2003.72,2558.42,5364.86,41879.5,0.036287,0.0100779,0,0,1195,11428,13765,2289,2840,0,390,0,0,-6948.22,0,0.439206162020455,0.560793837979545,0.453618068511094,0.546381931488906,0.446285825697017,0.553714174302983
39,1e+05,19520,89846.3,4136,0.00365752,641,1774,535.112,692.118,5055.86,28456,0.00981114,0.00271097,0,0,649,9479,11443,1167,1429,0,186,0,0,-3908.3,0,0.436032365571246,0.563967634428754,0.453063760634739,0.546936239365261,0.449537750385208,0.550462249614792
40,1e+05,15382,89576.4,1743,0.00126615,246,600,178.954,223.541,14493,70920.9,0.00933552,0.000889122,0,0,247,7359,8874,411,502,0,66,0,0,-1268.16,0,0.444611734307258,0.555388265692741,0.45333579744964,0.54666420255036,0.450164293537788,0.549835706462212
41,1e+05,11894,89310.8,694,0.00040005,75,193,128.865,160.875,56701.2,275061,0.0273067,0.00064004,0,0,77,5696,6709,163,195,0,25,0,0,-534.709,0,0.444760820045558,0.555239179954442,0.459169689641274,0.540830310358726,0.455307262569832,0.544692737430168
42,1e+05,9314,89052.8,406,0.000229232,41,110,151.044,188.497,148858,759854,0.103665,0.000750051,0,0,41,4478,5158,100,144,0,11,0,0,-257.327,0,0.444847603087698,0.555152396912302,0.464715649647157,0.535284350352843,0.409836065573771,0.590163934426229
43,1e+05,7851,88805.9,358,0.000214962,33,112,225.902,290.185,231722,1251660,0.263363,0.00114004,0,0,33,3737,4343,104,129,0,13,0,0,-247.701,0,0.43772077188536,0.56227922811464,0.4625,0.5375,0.446351931330472,0.553648068669528
44,1e+05,7183,88572.2,534,0.000288937,64,182,322.37,479.283,303784,1659210,0.410246,0.00177086,0,0,65,3412,3958,155,221,0,21,0,0,-393.053,0,0.402131595590611,0.597868404409389,0.462957937584803,0.537042062415197,0.412234042553192,0.587765957446808
45,1e+05,7267,88366.2,776,0.000536751,89,304,631.143,797.628,451328,2420550,0.542771,0.00315617,0,0,92,3457,4010,212,303,0,29,0,0,-538.406,0,0.441738389147036,0.558261610852964,0.462970403107004,0.537029596892996,0.411650485436893,0.588349514563107
46,1e+05,9025,88250.9,1394,0.000828465,137,481,1458.86,2196.27,624952,3433450,0.803445,0.00807425,0,0,138,4126,5152,423,560,0,52,0,0,-852.847,0,0.399126706847636,0.600873293152364,0.444707911187756,0.555292088812244,0.430315361139369,0.569684638860631
47,1e+05,13814,88325,2938,0.00199621,378,1187,3712.7,4795.11,472109,2908080,1.08888,0.0187939,0,0,382,6383,8024,911,1283,0,134,0,0,-2480.7,0,0.4363872724003,0.5636127275997,0.443048518081488,0.556951481918512,0.415223336371923,0.584776663628077
48,1e+05,21536,88654.2,6393,0.00461219,873,2748,6484.6,9323.95,145796,1104230,0.826773,0.0349215,0,0,882,9942,13118,2068,2784,0,331,0,0,-5795.74,0,0.410195748503183,0.589804251496817,0.431136166522116,0.568863833477884,0.426215993404782,0.573784006595218
49,1e+05,26372,88906.6,9792,0.00850881,1591,4563,6199.45,8520.95,25799.2,234807,0.268456,0.032518,0,0,1609,12460,16330,3112,4298,0,564,0,0,-10270.7,0,0.421146843835765,0.578853156164235,0.432789162903786,0.567210837096214,0.419973009446694,0.580026990553306
50,1e+05,26057,88866.2,9564,0.00877404,1621,4334,2919.83,4127.82,6178.25,50793.9,0.0484433,0.0155685,0,0,1642,12395,16208,2895,3927,0,494,0,0,-9044.67,0,0.414298383148993,0.585701616851007,0.433346152501486,0.566653847498514,0.424362357080035,0.575637642919965
51,1e+05,22305,88641.6,5914,0.00544081,986,2559,816.482,1149.92,4654.49,27382.6,0.0113345,0.00434387,0,0,997,10474,13711,1586,2220,0,247,0,0,-4591.33,0,0.415216217233302,0.584783782766698,0.433078354351871,0.566921645648129,0.416710457172885,0.583289542827115
52,1e+05,17689,88377.4,2550,0.00200467,367,929,245.114,353.905,11609.8,57457.3,0.00855364,0.00132325,0,0,373,8136,10667,558,831,0,96,0,0,-1997.13,0,0.409192362846587,0.590807637153412,0.432696910067542,0.567303089932458,0.401727861771058,0.598272138228942
53,1e+05,13481,88114.8,1018,0.000639788,126,306,152.041,227.008,45836,221457,0.0218706,0.000837328,0,0,127,6121,7972,217,306,0,32,0,0,-650.377,0,0.401111729618071,0.59888827038193,0.43432909955297,0.56567090044703,0.41491395793499,0.58508604206501
54,1e+05,10369,87861.8,588,0.000285983,62,152,188.947,249.332,132032,666924,0.0844155,0.000968165,0,0,62,4653,6086,139,198,0,23,0,0,-383.429,0,0.431111232799199,0.568888767200801,0.433280566160723,0.566719433839277,0.412462908011869,0.587537091988131
55,1e+05,8474,87621.5,503,0.00032557,67,179,281.218,328.298,220486,1182420,0.234297,0.00134643,0,0,67,3822,4906,148,178,0,21,0,0,-416.045,0,0.461379192670906,0.538620807329094,0.437901008249313,0.562098991750687,0.45398773006135,0.54601226993865
56,1e+05,7777,87406.8,670,0.000440486,67,239,455.155,632.587,288776,1580090,0.389757,0.00240284,0,0,68,3516,4472,210,242,0,27,0,0,-456.089,0,0.418440218360604,0.581559781639396,0.440160240360541,0.559839759639459,0.464601769911504,0.535398230088496
57,1e+05,8052,87238.1,1046,0.000811636,126,427,872.656,1172.06,419482,2254250,0.515405,0.0045168,0,0,128,3631,4637,307,444,0,44,0,0,-868.431,0,0.426785920391878,0.573214079608122,0.439163038219642,0.560836961780358,0.40878828229028,0.59121171770972
58,1e+05,10816,87219.6,1971,0.00127971,257,754,2267.56,3039.22,608358,3310760,0.748356,0.0117227,0,0,259,4861,6338,632,809,0,100,0,0,-1793.98,0,0.427294894455772,0.572705105544228,0.434056612197518,0.565943387802482,0.438584316446912,0.561415683553088
59,1e+05,17767,87533,4263,0.00304973,590,1807,5661.94,7481.58,525989,3156100,1.06372,0.0290343,0,0,597,8192,10593,1368,1848,0,222,0,0,-3941.75,0,0.430778056411068,0.569221943588932,0.436092627096087,0.563907372903913,0.425373134328358,0.574626865671642
60,1e+05,28903,88320.7,9285,0.00710394,1324,4142,11242.8,15433.6,187526,1366940,0.916535,0.0589292,0,0,1342,13838,17967,3114,4157,0,508,0,0,-8885.32,0,0.421451170322832,0.578548829677168,0.435088822512184,0.564911177487816,0.428276715719983,0.571723284280017
61,1e+05,36861,89048.7,14956,0.0136077,2396,6965,12057,16077,34643.9,309620,0.342382,0.0621492,0,0,2418,18216,23671,5067,6591,0,886,0,0,-15914.4,0,0.428556195350821,0.571443804649179,0.434884331654213,0.565115668345788,0.434637159032424,0.565362840967576
62,1e+05,37137,89239.9,15284,0.0156416,2822,7390,6081.27,8277.58,7360.87,63218.8,0.0651165,0.0317196,0,0,2856,18594,24102,4830,6593,0,938,0,0,-17434,0,0.423520685848797,0.576479314151203,0.435497470489039,0.564502529510961,0.422831130175961,0.577168869824039
63,1e+05,32437,89068.1,10405,0.0107433,1887,4682,1786.83,2421.79,4438.85,27470.7,0.0135586,0.00929712,0,0,1907,15858,20792,3031,4066,0,549,0,0,-10791.1,0,0.424564346507881,0.575435653492119,0.43268758526603,0.56731241473397,0.427081865577004,0.572918134422996
64,1e+05,26183,88803.4,4828,0.004447,782,1919,508.199,687.79,9419.6,47333.3,0.00812621,0.00264203,0,0,791,12414,16437,1217,1685,0,204,0,0,-3959.45,0,0.424919459961588,0.575080540038412,0.430279713008215,0.569720286991785,0.419365954514128,0.580634045485872
65,1e+05,20111,88537.4,1980,0.00136544,230,622,292.427,401.936,36677.2,176821,0.0177113,0.00153387,0,0,234,9317,12332,461,616,0,60,0,0,-1228.12,0,0.421144271800197,0.578855728199803,0.430366298674304,0.569633701325696,0.428040854224698,0.571959145775302
66,1e+05,15445,88285.7,1009,0.000567408,99,255,315.407,424.445,115192,576052,0.0680155,0.00163435,0,0,100,7049,9263,254,340,0,29,0,0,-538.422,0,0.426310937863248,0.573689062136752,0.432135850907307,0.567864149092692,0.427609427609428,0.572390572390572
67,1e+05,12497,88055.2,857,0.000612469,94,293,454.05,589.974,208361,1107980,0.205264,0.00230627,0,0,95,5622,7432,228,319,0,41,0,0,-641.507,0,0.43490379531505,0.56509620468495,0.430672590776773,0.569327409223227,0.416819012797075,0.583180987202925
68,1e+05,11379,87867.8,1072,0.00073037,132,383,791.509,1096.76,275634,1508990,0.367881,0.00417122,0,0,134,5110,6708,308,446,0,51,0,0,-823.239,0,0.419171738772389,0.580828261227611,0.432391267557962,0.567608732442038,0.408488063660477,0.591511936339523
69,1e+05,11759,87747.7,1675,0.00124067,237,661,1447.22,1874.74,390302,2103590,0.491286,0.00733829,0,0,239,5372,6870,520,683,0,79,0,0,-1423.89,0,0.435652446146251,0.564347553853749,0.438817186734194,0.561182813265806,0.432252701579385,0.567747298420615
70,1e+05,15207,87822.2,2873,0.00215187,402,1187,3226.47,4552.06,583534,3153410,0.69732,0.0171829,0,0,405,6896,9058,943,1198,0,160,0,0,-2746.19,0,0.41479174085592,0.58520825914408,0.432242697756049,0.567757302243951,0.440448388603456,0.559551611396544
71,1e+05,24332,88364.5,6177,0.00458852,822,2621,8798.84,11146.3,570904,3346580,1.02434,0.0440595,0,0,834,11562,14677,2087,2730,0,308,0,0,-5113.55,0,0.441152080155868,0.558847919844132,0.440641792751248,0.559358207248752,0.433257214033631,0.566742785966369
72,1e+05,37944,89555.2,12889,0.0107768,1989,5783,18382.1,24350,236511,1660500,0.991585,0.0943975,0,0,2008,18991,24085,4540,5693,0,749,0,0,-13482.6,0,0.430170761558641,0.569829238441359,0.440871947256013,0.559128052743987,0.443662660021499,0.556337339978501
73,1e+05,47923,90707.6,20317,0.0195981,3446,9761,22188.1,27848.2,46681.8,406818,0.4279,0.110535,0,0,3488,25717,31402,7329,9235,0,1219,0,0,-22160.3,0,0.443440062514614,0.556559937485386,0.450235473310107,0.549764526689893,0.442465588022217,0.557534411977783
74,1e+05,48488,91101.1,22069,0.0238045,4100,10358,11776.6,14916.8,9043.96,80332,0.0876874,0.058969,0,0,4161,26637,32254,7674,9591,0,1362,0,0,-25712.6,0,0.441180216832625,0.558819783167375,0.45231020020037,0.54768979979963,0.444483058210252,0.555516941789748
75,1e+05,43104,90962.8,15967,0.0174457,2907,7215,3501.37,4397.41,4393.75,28755,0.016734,0.0174492,0,0,2938,23305,28297,5162,6453,0,820,0,0,-15220.9,0,0.443279848280367,0.556720151719633,0.451629781791403,0.548370218208597,0.444425312096427,0.555574687903573
76,1e+05,35855,90684,8105,0.00786957,1274,3213,928.737,1164.41,7775.12,39851.1,0.00802331,0.00462393,0,0,1290,18760,22800,2233,2814,0,345,0,0,-6050.13,0,0.443703667253184,0.556296332746816,0.451395572666025,0.548604427333975,0.44244105409154,0.55755894590846
77,1e+05,28258,90400,3303,0.00264294,459,1104,474.554,593.664,29136.2,140453,0.0145702,0.00235973,0,0,465,14279,17364,875,1014,0,118,0,0,-2534.79,0,0.444248271420253,0.555751728579747,0.45125304174699,0.54874695825301,0.463208046585495,0.536791953414505
78,1e+05,21980,90138.5,1571,0.00108671,185,468,500.908,644.561,98826,489634,0.0543603,0.00253037,0,0,189,10781,13147,417,485,0,58,0,0,-961.876,0,0.437295116672734,0.562704883327266,0.450560013373454,0.549439986626546,0.462305986696231,0.537694013303769
79,1e+05,17925,89907.2,1347,0.00092424,152,412,718.703,916.318,195127,1027850,0.177028,0.00361181,0,0,152,8543,10578,333,500,0,54,0,0,-797.252,0,0.439568054477588,0.560431945522412,0.446786255948957,0.553213744051043,0.399759903961585,0.600240096038415
80,1e+05,16144,89728,1691,0.0011649,203,633,1232.54,1611.94,263865,1443200,0.344277,0.00628351,0,0,203,7552,9537,514,653,0,63,0,0,-1087.19,0,0.433309427382158,0.566690572617842,0.44192170402013,0.55807829597987,0.44044558697515,0.55955441302485
81,1e+05,16828,89639.8,2562,0.00209126,368,1004,2203.28,3028.53,364161,1969540,0.469575,0.0115572,0,0,373,7783,10019,773,1097,0,133,0,0,-2267.14,0,0.421131501335102,0.578868498664898,0.43719806763285,0.56280193236715,0.413368983957219,0.586631016042781
82,1e+05,21610,89785.5,4569,0.00337462,636,1850,4890.09,7088.83,553108,2974780,0.651148,0.0264618,0,0,639,9880,13314,1472,2078,0,214,0,0,-3405.51,0,0.408224614572933,0.591775385427067,0.4259722341985,0.5740277658015,0.414647887323944,0.585352112676056
83,1e+05,32848,90459.3,9119,0.00748579,1309,3939,13124,17334.6,604179,3469980,0.974842,0.0672844,0,0,1322,15948,20723,2970,4214,0,472,0,0,-8139.35,0,0.430879948520287,0.569120051479713,0.434894057974967,0.565105942025033,0.413418708240535,0.586581291759465
84,1e+05,48673,91887.9,17897,0.0157295,2788,8089,29554.3,41975.3,291781,1975980,1.04785,0.158014,0,0,2810,25168,32697,6388,8266,0,1022,0,0,-17374,0,0.413175804142621,0.586824195857379,0.434943402747775,0.565056597252225,0.435921932578136,0.564078067421864
85,1e+05,58959,93176.8,26928,0.0281272,4822,12959,36516.5,50396.8,62828.9,531014,0.523046,0.192004,0,0,4872,32794,41575,9545,13273,0,1666,0,0,-29880,0,0.420148584854102,0.579851415145898,0.440963304602724,0.559036695397276,0.418310106056622,0.581689893943378
86,1e+05,59546,93624.5,29109,0.0339474,5812,13997,20421.1,28098.2,11415.3,103706,0.117733,0.107185,0,0,5920,34025,42884,10325,13643,0,1999,0,0,-37344.4,0,0.420886121605217,0.579113878394783,0.442405960290733,0.557594039709267,0.430782710280374,0.569217289719626
87,1e+05,53663,93466.3,22775,0.0262955,4162,10172,5926.43,8287.19,4519.2,31379.3,0.0212183,0.0313992,0,0,4212,30137,38225,7203,9828,0,1310,0,0,-24262,0,0.416954301578345,0.583045698421655,0.440844328720634,0.559155671279366,0.422934648581998,0.577065351418002
88,1e+05,45704,93145.8,12573,0.0128904,2012,4889,1469.77,2020.85,6557.42,34462.5,0.00824396,0.00771118,0,0,2028,24440,31475,3433,4643,0,536,0,0,-9692.98,0,0.42106273384098,0.57893726615902,0.437092014665117,0.562907985334883,0.425086676572561,0.574913323427439
89,1e+05,37098,92827.7,5266,0.00432146,693,1717,645.646,893.771,23056.3,111395,0.0122334,0.00340066,0,0,699,18856,24565,1267,1660,0,179,0,0,-3217.9,0,0.419409425776122,0.580590574223878,0.434259920315055,0.565740079684945,0.432866416125726,0.567133583874274
90,1e+05,29556,92537.9,2417,0.00162799,247,657,650.055,845.208,83391.3,409740,0.0432262,0.00330307,0,0,247,14389,18978,596,764,0,74,0,0,-1413.52,0,0.434742918135472,0.565257081864528,0.431234453202266,0.568765546797734,0.438235294117647,0.561764705882353
91,1e+05,24156,92281,1826,0.00122576,196,566,883.867,1154.51,180714,942296,0.150309,0.00450286,0,0,197,11362,15145,508,625,0,60,0,0,-1067.18,0,0.433613114747664,0.566386885252336,0.428641490926925,0.571358509073075,0.448367166813769,0.551632833186231
92,1e+05,21617,92073.6,2176,0.00153176,232,721,1566.99,1901.12,252958,1380030,0.318846,0.00766116,0,0,234,10060,13293,626,821,0,72,0,0,-1400.16,0,0.451828229208416,0.548171770791584,0.430779771335589,0.569220228664411,0.432619212163096,0.567380787836904
93,1e+05,21734,91947.5,3299,0.00257418,377,1240,2792.62,3559.71,341141,1851780,0.449399,0.0140324,0,0,385,10194,13249,1078,1346,0,129,0,0,-2194.45,0,0.439621367277833,0.560378632722166,0.434841957087403,0.565158042912597,0.444719471947195,0.555280528052805
94,1e+05,26381,92018.8,5581,0.00457978,716,2165,6078.15,8179.18,519579,2786940,0.610127,0.0314947,0,0,723,12524,16279,1830,2349,0,254,0,0,-4293.26,0,0.426317550340772,0.573682449659228,0.434815817796757,0.565184182203243,0.437903804737976,0.562096195262024
95,1e+05,37906,92554.5,10782,0.00902081,1506,4520,16317.1,21002.2,624262,3522890,0.919244,0.0824404,0,0,1527,19023,24102,3765,4727,0,517,0,0,-9336.19,0,0.437229530028698,0.562770469971302,0.441113043478261,0.558886956521739,0.443358455016486,0.556641544983514
96,1e+05,53614,93708,20024,0.0186615,3148,8913,38000,49894.9,351438,2300280,1.0829,0.194168,0,0,3185,29190,36306,7293,9291,0,1174,0,0,-20549.7,0,0.432334526804172,0.567665473195828,0.44567607182118,0.55432392817882,0.439761215629522,0.560238784370478
97,1e+05,64277,94802.3,30168,0.0326971,5384,14563,51056,66384,84092.1,686609,0.624456,0.259438,0,0,5451,37847,45863,11535,14709,0,1925,0,0,-34091.7,0,0.434741144414169,0.565258855585831,0.452120415720941,0.547879584279059,0.439529035208048,0.560470964791952
98,1e+05,65298,95169.2,33286,0.0397367,6547,15889,30396.2,39865.3,14737.7,135394,0.156914,0.155217,0,0,6623,39927,47611,12627,15994,0,2200,0,0,-39398.7,0,0.432615301409734,0.567384698590266,0.456110489158994,0.543889510841006,0.441179553474721,0.558820446525279
99,1e+05,59696,94975.1,27392,0.0329494,5157,12493,9318.17,12114.6,4831.31,35613.5,0.0275101,0.0473487,0,0,5240,36138,43008,9598,12014,0,1589,0,0,-29825.6,0,0.434762748818748,0.565237251181252,0.456599196421803,0.543400803578197,0.444105126781418,0.555894873218582
