"Survey","nHost","nInfect","nExpectd","nPatent","nTransmit","nTreatments1","nUncomp","innoculationsPerAgeGroup","innoculationsPerAgeGroup_2","Vector_Nv","Vector_Nv_2","inputEIR","simulatedEIR","nMDAs","nMassScreenings","nTreatDiagnostics","nInfectByGenotype","nInfectByGenotype_2","nPatentByGenotype","nPatentByGenotype_2","nHostDrugConcNonZero","nHostDrugConcNonZero_2","nHostDrugConcNonZero_3","sumLogDrugConcNonZero","sumLogDrugConcNonZero_2","sumLogDrugConcNonZero_3","Inoculation_S","Inoculation_R","Infection_S","Infection_R","Patent_S","Patent_R"
259,1e+05,53460,95764.1,11103,0.00989389,1340,3465,1161.42,1565.27,14493,70921,0.00933552,0.00602343,0,0,1351,31084,38057,2852,3677,0,358,0,0,-6872.52,0,0.425945010250524,0.574054989749476,0.449574058807365,0.550425941192635,0.436820340021443,0.563179659978557
260,1e+05,45002,95418.5,4785,0.00332883,429,1257,957.08,1234.28,56701.3,275061,0.0273067,0.00484077,0,0,433,24462,30573,1151,1495,0,114,0,0,-2232.24,0,0.436751606308411,0.563248393691589,0.444480784955029,0.555519215044971,0.434996220710506,0.565003779289494
261,1e+05,37654,95113.8,2961,0.00210316,289,858,1216.75,1608.4,148858,759854,0.103665,0.00624085,0,0,295,19437,24469,793,1023,0,85,0,0,-1578.92,0,0.430685096366565,0.569314903633435,0.44269575912176,0.55730424087824,0.436674008810573,0.563325991189427
262,1e+05,33047,94857.2,3313,0.00249445,349,1095,2051.84,2754.19,231722,1251660,0.263363,0.0106166,0,0,351,16537,20991,975,1331,0,113,0,0,-1903.73,0,0.426930335432779,0.573069664567221,0.440657642293754,0.559342357706246,0.422810060711188,0.577189939288812
263,1e+05,32431,94676.1,4861,0.00392644,538,1801,4031.63,5240.72,303784,1659210,0.410246,0.0204829,0,0,545,16099,20436,1532,2073,0,194,0,0,-3249,0,0.434801317896758,0.565198682103242,0.440645955932667,0.559354044067333,0.4249653259362,0.5750346740638
264,1e+05,36813,94640.2,8291,0.00711667,994,3210,8052.7,11550.5,451328,2420550,0.542771,0.0433042,0,0,999,18282,23667,2796,3597,0,359,0,0,-6373.44,0,0.410784973881815,0.589215026118185,0.435814918114854,0.564185081885146,0.437353355232285,0.562646644767715
265,1e+05,48458,94950.7,14541,0.0130423,1918,6011,21310.1,29200.3,624952,3433450,0.803445,0.11158,0,0,1934,25376,32385,4872,6910,0,729,0,0,-12797.1,0,0.421895292850581,0.578104707149419,0.439327573968595,0.560672426031405,0.413512137158377,0.586487862841623
266,1e+05,63532,95742,25857,0.025433,3863,11530,52372.8,72843.6,472109,2908080,1.08888,0.276613,0,0,3890,36201,45442,9498,12586,0,1460,0,0,-25516,0,0.41825831121163,0.58174168878837,0.44340604828338,0.55659395171662,0.430085129505524,0.569914870494476
267,1e+05,73642,96559.3,37136,0.0417646,6338,17576,81857.3,114299,145796,1104240,0.826773,0.433334,0,0,6419,45586,56141,14516,19181,0,2281,0,0,-40444.9,0,0.417306505067643,0.582693494932358,0.448120951173238,0.551879048826762,0.430780188147313,0.569219811852687
268,1e+05,75137,96835.6,41688,0.0516946,7540,19961,58324.9,79484.1,25799.2,234808,0.268456,0.304439,0,0,7647,48725,59017,16362,21838,0,2590,0,0,-46829.5,0,0.42322997772279,0.57677002227721,0.452237753151046,0.547762246848954,0.428324607329843,0.571675392670157
269,1e+05,70132,96599.9,37629,0.0467541,6573,16885,19122.3,26292.4,6178.26,50794.2,0.0484433,0.100328,0,0,6663,45463,54862,13799,18275,0,2097,0,0,-38136.2,0,0.421059700933839,0.578940299066162,0.453157238973337,0.546842761026663,0.430223857329925,0.569776142670075
270,1e+05,62802,96191.9,25591,0.0298689,3968,10242,4296.05,5929.17,4654.49,27382.7,0.0113345,0.0225887,0,0,4005,38905,47655,8277,10790,0,1187,0,0,-22889.1,0,0.420142549500157,0.579857450499842,0.449457024029575,0.550542975970425,0.434100802433524,0.565899197566476
271,1e+05,54818,95796.2,12811,0.0120902,1609,4170,1288.3,1758.22,11609.8,57457.3,0.00855364,0.00672997,0,0,1628,31737,39690,3358,4504,0,439,0,0,-8746.42,0,0.422875937134829,0.577124062865171,0.444327775211055,0.555672224788945,0.427117781734927,0.572882218265072
272,1e+05,46436,95444.9,5472,0.00394743,503,1492,916.709,1264.57,45836,221457,0.0218706,0.00481852,0,0,506,25083,31953,1287,1710,0,151,0,0,-2984.95,0,0.420262148950226,0.579737851049774,0.439774879023774,0.560225120976226,0.429429429429429,0.570570570570571
273,1e+05,38811,95134.9,3310,0.00230665,315,935,1179.93,1510.68,132032,666924,0.0844155,0.00594362,0,0,318,19944,25576,849,1111,0,97,0,0,-1865.88,0,0.438536242710761,0.561463757289239,0.438137082601054,0.561862917398946,0.433163265306122,0.566836734693878
274,1e+05,33766,94873.2,3155,0.00241324,328,1050,1919.58,2663.81,220486,1182420,0.234297,0.0101248,0,0,332,16730,21743,920,1216,0,122,0,0,-2078.76,0,0.418812276502763,0.581187723497237,0.434850414576456,0.565149585423544,0.430711610486891,0.569288389513109
275,1e+05,32476,94679.4,4598,0.00362865,518,1677,3675.69,4803.18,288776,1580090,0.389757,0.0187301,0,0,521,16004,20592,1479,1869,0,181,0,0,-3139.25,0,0.433511776923104,0.566488223076896,0.437315553612417,0.562684446387583,0.441756272401434,0.558243727598566
276,1e+05,36056,94612.6,7586,0.00648009,876,2916,7493.51,9697.13,419482,2254250,0.515405,0.0379747,0,0,881,18029,22963,2523,3220,0,361,0,0,-6593.65,0,0.4359064002271,0.5640935997729,0.439817525370804,0.560182474629196,0.439317429914679,0.560682570085321
277,1e+05,46414,94846.8,13525,0.0117146,1713,5443,18610.4,24026.5,608358,3310770,0.748356,0.0941863,0,0,1731,24590,30341,4685,5985,0,669,0,0,-11615.1,0,0.4364857670234,0.5635142329766,0.447652509511933,0.552347490488067,0.439081537019681,0.560918462980319
278,1e+05,61360,95573.6,23799,0.0222925,3384,10290,48027.9,61462.5,525989,3156100,1.06372,0.241871,0,0,3412,35308,42624,9048,11097,0,1216,0,0,-21243.6,0,0.438649415839197,0.561350584160803,0.453061643484063,0.546938356515937,0.449143708116158,0.550856291883842
279,1e+05,72598,96437.7,35575,0.0388186,5725,16577,84339.4,105843,187526,1366940,0.916535,0.420137,0,0,5787,45664,53647,14288,17727,0,2081,0,0,-36741.9,0,0.443465851729708,0.556534148270292,0.459808077655043,0.540191922344957,0.446290801186944,0.553709198813056
280,1e+05,75277,96819.4,41304,0.0509209,7512,19856,67929.8,85949,34643.9,309621,0.342382,0.33994,0,0,7615,49907,57885,17024,20818,0,2570,0,0,-46351.3,0,0.441450024304843,0.558549975695158,0.462993543120083,0.537006456879917,0.449870514243433,0.550129485756567
281,1e+05,71204,96650.1,38925,0.0486403,6824,17570,24797.7,31918.2,7360.87,63219,0.0651165,0.125295,0,0,6936,47438,54817,15317,18656,0,2196,0,0,-40911.8,0,0.437226597832354,0.562773402167646,0.463918634785585,0.536081365214415,0.450858034321373,0.549141965678627
282,1e+05,63863,96251.5,28140,0.0331839,4441,11511,5774.7,7337.16,4438.85,27470.7,0.0135586,0.0289657,0,0,4503,40992,47721,9466,11799,0,1349,0,0,-25005,0,0.44041806425633,0.55958193574367,0.462074329579656,0.537925670420344,0.445144603809076,0.554855396190924
283,1e+05,55930,95848.9,14441,0.0143065,1834,5003,1551.69,1978.56,9419.6,47333.4,0.00812621,0.00779863,0,0,1852,33558,40004,3954,5107,0,510,0,0,-10071.1,0,0.439541108986616,0.560458891013384,0.456186618090862,0.543813381909138,0.436375675973954,0.563624324026046
284,1e+05,47496,95490.4,6222,0.0047531,585,1763,952.827,1221.19,36677.2,176821,0.0177113,0.00480249,0,0,591,26595,32349,1495,1976,0,168,0,0,-3236.34,0,0.438279461476152,0.561720538523848,0.451190960912052,0.548809039087948,0.430711610486891,0.569288389513109
285,1e+05,39521,95174.5,3425,0.00239091,286,927,1127.41,1445.18,115192,576052,0.0680155,0.00568293,0,0,291,20874,25841,878,1136,0,90,0,0,-1658.25,0,0.43823928414555,0.56176071585445,0.446837204324093,0.553162795675907,0.435948361469712,0.564051638530288
