"Setting","Factor","First","Effect","MAX","MIN","EIR","Resistance_level","Treatment_access","Dosage","Seasonality","sum_first"
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_2.5_Dosage_0","MKR",0.00269902633897638,"Total",0.00274355493591147,0.00265479436888247,500,2.5,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_2.5_Dosage_0","Diangostic",0.00254578240160759,"Total",0.00258300609105568,0.00250940177880432,500,2.5,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_2.5_Dosage_0","Cmax/IC50",0.00529935748436848,"Total",0.00539081521421169,0.00520371177144184,500,2.5,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_10_Dosage_0","Fitness",0.984583509839202,"First",0.968954949843425,0.968322613246636,5,10,0.04,0,"sesonality1",0.98380947188519
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_10_Dosage_0","half-life",0.0129728483377965,"First",0.0198549938831983,0.00557605441196649,5,10,0.04,0,"sesonality1",0.98380947188519
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_10_Dosage_0","MKR",0,"First",0.00260278216915649,-0.0118143499017371,5,10,0.04,0,"sesonality1",0.98380947188519
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_10_Dosage_0","Diangostic",0,"First",0.0030786179409204,-0.0116254595719394,5,10,0.04,0,"sesonality1",0.98380947188519
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_10_Dosage_0","Cmax/IC50",0.00244364182300117,"First",0.00962135905009617,-0.00476179958571168,5,10,0.04,0,"sesonality1",0.98380947188519
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_10_Dosage_0","Fitness",0.977866381566954,"Total",0.98516628208403,0.970661501234577,5,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_10_Dosage_0","half-life",0.0195154179420015,"Total",0.0196921085208219,0.0193235513613703,5,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_10_Dosage_0","MKR",0.00203978498811932,"Total",0.00206778420764827,0.00201141338844481,5,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_10_Dosage_0","Diangostic",0.00337263507721684,"Total",0.00342032631025055,0.00332273372409854,5,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_10_Dosage_0","Cmax/IC50",0.00893539637418867,"Total",0.00905233767358382,0.00881467537317894,5,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_10_Dosage_0","Fitness",0.946968487250375,"First",0.970758170589897,0.970205452820975,10,10,0.04,0,"sesonality1",1.02482716681092
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_10_Dosage_0","half-life",0.0296015635639865,"First",0.03802158744599,0.0229857718379026,10,10,0.04,0,"sesonality1",1.02482716681092
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_10_Dosage_0","MKR",0.00712895274412837,"First",0.0148025318114273,7.91839270419641e-06,10,10,0.04,0,"sesonality1",1.02482716681092
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_10_Dosage_0","Diangostic",0.00693250244386344,"First",0.0145611512117677,-0.000345434647043502,10,10,0.04,0,"sesonality1",1.02482716681092
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_10_Dosage_0","Cmax/IC50",0.00936849399764632,"First",0.017199748707438,0.00221636013051076,10,10,0.04,0,"sesonality1",1.02482716681092
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_10_Dosage_0","Fitness",0.966350319860824,"Total",0.97372121696342,0.958634102087072,10,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_10_Dosage_0","half-life",0.0256024816644052,"Total",0.025836986472915,0.0253652904237304,10,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_10_Dosage_0","MKR",0.000598499693710895,"Total",0.000606088564645401,0.000591255609942657,10,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_10_Dosage_0","Diangostic",0.000595457286741287,"Total",0.000605439730222692,0.00058527870898976,10,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_10_Dosage_0","Cmax/IC50",0.00359571122384288,"Total",0.00364152294382846,0.003548618149464,10,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_10_Dosage_0","Fitness",0.931753592471411,"First",0.929538110631701,0.928194645671371,500,10,0.04,0,"sesonality1",0.996915695599382
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_10_Dosage_0","half-life",0.0651597803595926,"First",0.0725986983146174,0.0578387972622829,500,10,0.04,0,"sesonality1",0.996915695599382
