"Test_True","Test_predicted","iteration","eir","seasonality","dosage","access","resistance_level"
0.0203489393187204,0.0196911239532885,1,5,"sesonality1",0,0.04,7
-0.0174266597336609,-0.0172162113150693,1,5,"sesonality1",0,0.04,7
0.0221761764897209,0.0246260504400699,1,5,"sesonality1",0,0.04,7
-0.0391579148538097,-0.0399744469664398,1,5,"sesonality1",0,0.04,7
0.00667360080458386,0.00842732145192566,1,5,"sesonality1",0,0.04,7
-0.0316078068216599,-0.0325049558778043,1,5,"sesonality1",0,0.04,7
-0.00106659422539183,-0.000951543138806805,1,5,"sesonality1",0,0.04,7
-0.0223638212597343,-0.0239308748029468,1,5,"sesonality1",0,0.04,7
-0.0149404644122855,-0.0168397804482837,1,5,"sesonality1",0,0.04,7
0.00708246584286554,0.00764969617668384,1,5,"sesonality1",0,0.04,7
-0.0446531067117985,-0.0412505053459655,1,5,"sesonality1",0,0.04,7
-0.00239320879604264,-0.00407827492154715,1,5,"sesonality1",0,0.04,7
-0.046084305572503,-0.0474050223071993,1,5,"sesonality1",0,0.04,7
-0.00924613703079748,-0.00695651935621159,1,5,"sesonality1",0,0.04,7
-0.036787266699368,-0.0367089733187285,1,5,"sesonality1",0,0.04,7
-0.0216896310832246,-0.0267312529118816,1,5,"sesonality1",0,0.04,7
-0.0295958104638685,-0.0286911980741276,1,5,"sesonality1",0,0.04,7
0.00512167164715626,0.00101748466576825,1,5,"sesonality1",0,0.04,7
-0.0291250701286627,-0.0285974070481863,1,5,"sesonality1",0,0.04,7
0.0117650841663261,0.0131902837249118,1,5,"sesonality1",0,0.04,7
-0.0267793059719595,-0.0269582206202915,1,5,"sesonality1",0,0.04,7
0.00417526580363999,0.00604264913733334,1,5,"sesonality1",0,0.04,7
-0.00429486309029983,-0.00518854863374654,1,5,"sesonality1",0,0.04,7
-0.0199289414234096,-0.0188321316200996,1,5,"sesonality1",0,0.04,7
0.00533271234374035,0.00752002667236681,1,5,"sesonality1",0,0.04,7
0.00919061155994947,0.00605250335673271,1,5,"sesonality1",0,0.04,7
0.0012406468880392,0.000540144853388512,1,5,"sesonality1",0,0.04,7
-0.0301842019854995,-0.0297405906042658,1,5,"sesonality1",0,0.04,7
-0.0144028261926576,-0.0100901882067727,1,5,"sesonality1",0,0.04,7
-0.0443158772620604,-0.0419746675236166,1,5,"sesonality1",0,0.04,7
-0.0257410604791385,-0.0265844474012608,1,10,"sesonality1",0,0.04,7
-0.0719963871941079,-0.0743881819737333,1,10,"sesonality1",0,0.04,7
0.0201566471297463,0.0155176720014649,1,10,"sesonality1",0,0.04,7
-0.0522108705034469,-0.0524298143853491,1,10,"sesonality1",0,0.04,7
-0.0453299567798409,-0.0467243424355671,1,10,"sesonality1",0,0.04,7
-0.0100569484764198,-0.00924065619917541,1,10,"sesonality1",0,0.04,7
-0.0247322363210018,-0.0239471151741949,1,10,"sesonality1",0,0.04,7
0.0174289842064998,0.0115337965984252,1,10,"sesonality1",0,0.04,7
0.00135776209581669,0.00128837736223664,1,10,"sesonality1",0,0.04,7
0.0146087634802151,0.00987114336871242,1,10,"sesonality1",0,0.04,7
0.00702112293595109,0.00225169472834863,1,10,"sesonality1",0,0.04,7
-0.0631684237018499,-0.0652131353551139,1,10,"sesonality1",0,0.04,7
-0.0064695037739176,-0.00751981390992256,1,10,"sesonality1",0,0.04,7
-0.0318602708038526,-0.0327542023897198,1,10,"sesonality1",0,0.04,7
-0.0327111811500314,-0.033725379347066,1,10,"sesonality1",0,0.04,7
-0.0613009454522272,-0.0638494901236908,1,10,"sesonality1",0,0.04,7
-0.0508976893300685,-0.0503806548084005,1,10,"sesonality1",0,0.04,7
-0.0131485105821151,-0.0133910199037553,1,10,"sesonality1",0,0.04,7
-0.0382767566783069,-0.0391166163004676,1,10,"sesonality1",0,0.04,7
0.0170830829499572,0.018953930029204,1,10,"sesonality1",0,0.04,7
-0.0516353930587858,-0.0517993280348699,1,10,"sesonality1",0,0.04,7
-0.0231822102383006,-0.0239389810827364,1,10,"sesonality1",0,0.04,7
-0.0412906621017367,-0.0446941929404372,1,10,"sesonality1",0,0.04,7
-0.0153454809284803,-0.0141811818490841,1,10,"sesonality1",0,0.04,7
-0.0173587089178303,-0.0156987650851263,1,10,"sesonality1",0,0.04,7
0.0101321422104151,0.00473694079708093,1,10,"sesonality1",0,0.04,7
0.000523683194915283,0.00600052500732279,1,10,"sesonality1",0,0.04,7
-0.0424600830339237,-0.0432938463621599,1,10,"sesonality1",0,0.04,7
-0.0206661627003422,-0.0207908912669426,1,10,"sesonality1",0,0.04,7
-0.00302407078431217,-0.000670745592316665,1,10,"sesonality1",0,0.04,7
0.0199258702708755,0.0183605972225719,1,500,"sesonality1",0,0.04,7
-0.0686262663946087,-0.0671237032182364,1,500,"sesonality1",0,0.04,7
-0.0301619275144814,-0.0298488390535025,1,500,"sesonality1",0,0.04,7
-0.0507156920360291,-0.0487570261275929,1,500,"sesonality1",0,0.04,7
-0.00913694081900491,-0.00770598225047708,1,500,"sesonality1",0,0.04,7
0.00785975509052086,0.0119762860835259,1,500,"sesonality1",0,0.04,7
-0.0712599146672333,-0.0726549440063917,1,500,"sesonality1",0,0.04,7
-0.0854260907415708,-0.0879470688953943,1,500,"sesonality1",0,0.04,7
-0.0139160100845353,-0.0158767172363411,1,500,"sesonality1",0,0.04,7
-0.0239846880831325,-0.0246521265679309,1,500,"sesonality1",0,0.04,7
-0.0622996292801635,-0.0633741554163224,1,500,"sesonality1",0,0.04,7
-0.0206649307307688,-0.0215371217919784,1,500,"sesonality1",0,0.04,7
-0.060435323083466,-0.0575808078322912,1,500,"sesonality1",0,0.04,7
-0.0832273890192862,-0.0838349957547556,1,500,"sesonality1",0,0.04,7
-0.00371825464609723,-0.00450034157154662,1,500,"sesonality1",0,0.04,7
-0.0791330319029208,-0.0830996932241453,1,500,"sesonality1",0,0.04,7
-0.0193890366493126,-0.0188767889022664,1,500,"sesonality1",0,0.04,7
0.0141672133381599,0.016322511812363,1,500,"sesonality1",0,0.04,7
-0.0766178179590953,-0.0753553779719591,1,500,"sesonality1",0,0.04,7
-0.0377320277665288,-0.0413621954838876,1,500,"sesonality1",0,0.04,7
-0.0940842802142115,-0.0940766707442997,1,500,"sesonality1",0,0.04,7
-0.0143640840067679,-0.0141303728122791,1,500,"sesonality1",0,0.04,7
-0.0233926698016352,-0.0256761497847087,1,500,"sesonality1",0,0.04,7
-0.0916800174526213,-0.0948667624808489,1,500,"sesonality1",0,0.04,7
-0.0479300941444425,-0.0478185894244611,1,500,"sesonality1",0,0.04,7
-0.0303337500746749,-0.0282917467577114,1,500,"sesonality1",0,0.04,7
-0.0850437368351212,-0.0854780493004599,1,500,"sesonality1",0,0.04,7
-0.0314901337999914,-0.0316617677427065,1,500,"sesonality1",0,0.04,7
-0.013926347580488,-0.0152112030889456,1,500,"sesonality1",0,0.04,7
-0.077252624172858,-0.076266242495387,1,500,"sesonality1",0,0.04,7
-0.0105873798805326,-0.00975087057331665,1,5,"sesonality1",0,0.04,18
-0.032136586444104,-0.0348642297194655,1,5,"sesonality1",0,0.04,18
-0.0201679321912206,-0.0225579879280965,1,5,"sesonality1",0,0.04,18
-0.0428467808225091,-0.0422217059858288,1,5,"sesonality1",0,0.04,18
-0.0360314646154897,-0.0362543481044287,1,5,"sesonality1",0,0.04,18
-0.0120165307652986,-0.0112599997619333,1,5,"sesonality1",0,0.04,18
0.0256396055964593,0.0189982006086553,1,5,"sesonality1",0,0.04,18
-0.0389820497472589,-0.0411409655826615,1,5,"sesonality1",0,0.04,18
0.00530191634043175,0.00513013284100944,1,5,"sesonality1",0,0.04,18
-0.019075566280474,-0.0148608518035985,1,5,"sesonality1",0,0.04,18
-0.0371669310257608,-0.0398549082322665,1,5,"sesonality1",0,0.04,18
-0.0165616955886276,-0.0157259285713744,1,5,"sesonality1",0,0.04,18
0.0125567300737509,0.012645292494383,1,5,"sesonality1",0,0.04,18
-0.0209682451120003,-0.0211775549553741,1,5,"sesonality1",0,0.04,18
-0.0293440992112135,-0.0323993881611572,1,5,"sesonality1",0,0.04,18
0.024774107770215,0.024421121641717,1,5,"sesonality1",0,0.04,18
0.0258326884347461,0.0221557181542324,1,5,"sesonality1",0,0.04,18
-0.0331228014827849,-0.0328218900941741,1,5,"sesonality1",0,0.04,18
-0.0164961532815532,-0.0137324349650417,1,5,"sesonality1",0,0.04,18
-0.0188967028450055,-0.0205976045739321,1,5,"sesonality1",0,0.04,18
-0.044541164409013,-0.0445393861516483,1,5,"sesonality1",0,0.04,18
-0.00353529538571677,-0.00263579544176262,1,5,"sesonality1",0,0.04,18
-0.0454178273354431,-0.0450706341852174,1,5,"sesonality1",0,0.04,18
0.000303580704095393,0.000599281338014221,1,5,"sesonality1",0,0.04,18
-0.0423700419527171,-0.0412318285246601,1,5,"sesonality1",0,0.04,18
-0.00140879278553623,-0.00362524658003295,1,5,"sesonality1",0,0.04,18
-0.037037113692522,-0.0373538975460353,1,5,"sesonality1",0,0.04,18
0.0216825097654498,0.0226007831262887,1,5,"sesonality1",0,0.04,18
-0.0301664194046799,-0.0270667659989284,1,5,"sesonality1",0,0.04,18
0.0150225434405512,0.0120720506170579,1,5,"sesonality1",0,0.04,18
0.0180542589616982,0.0199915498420553,1,10,"sesonality1",0,0.04,18
-0.0388828891376855,-0.0386308043376657,1,10,"sesonality1",0,0.04,18
-0.0263633025438887,-0.0269305584335618,1,10,"sesonality1",0,0.04,18
-0.0121245916040667,-0.0131820647004019,1,10,"sesonality1",0,0.04,18
-0.0207147169728935,-0.0220876849067826,1,10,"sesonality1",0,0.04,18
0.0169612896884055,0.0152003728372181,1,10,"sesonality1",0,0.04,18
-0.0136349705137766,-0.0156359900673728,1,10,"sesonality1",0,0.04,18
-0.0538796013175064,-0.054048424755332,1,10,"sesonality1",0,0.04,18
-0.0312188074207777,-0.0320438774111896,1,10,"sesonality1",0,0.04,18
-0.0426478860546683,-0.0432856548668233,1,10,"sesonality1",0,0.04,18
-0.0330254311571603,-0.0322949871741388,1,10,"sesonality1",0,0.04,18
0.0223142675083238,0.0202407850923317,1,10,"sesonality1",0,0.04,18
-0.0429575823567601,-0.0433470818867281,1,10,"sesonality1",0,0.04,18
0.0212864680505931,0.0179368445839003,1,10,"sesonality1",0,0.04,18
-0.00451015251637854,-0.00523038698232046,1,10,"sesonality1",0,0.04,18
-0.0168716059907098,-0.0185881531196954,1,10,"sesonality1",0,0.04,18
0.0107039075237028,0.0112610031143893,1,10,"sesonality1",0,0.04,18
-0.0492049016985835,-0.0497122381223593,1,10,"sesonality1",0,0.04,18
-0.00332550270290698,-0.0017333395797301,1,10,"sesonality1",0,0.04,18
-0.0143155868272921,-0.015492962651081,1,10,"sesonality1",0,0.04,18
-0.00972933733137813,-0.00967582131300669,1,10,"sesonality1",0,0.04,18
-0.0410790281066671,-0.0405932495116395,1,10,"sesonality1",0,0.04,18
-0.00335843712776217,-0.00719773511132192,1,10,"sesonality1",0,0.04,18
-0.0316292091051354,-0.0335558302594673,1,10,"sesonality1",0,0.04,18
-0.0112362464515616,-0.0117184849906497,1,10,"sesonality1",0,0.04,18
-0.0344188628113801,-0.0354208143191376,1,10,"sesonality1",0,0.04,18
-0.00643463936438887,-0.00591554238389217,1,10,"sesonality1",0,0.04,18
-0.0255510265190837,-0.0234420101966276,1,10,"sesonality1",0,0.04,18
0.0174788723204415,0.0151792327609016,1,10,"sesonality1",0,0.04,18
-0.0493840848962842,-0.0455420999055051,1,10,"sesonality1",0,0.04,18
-0.0304321168516063,-0.030193939522521,1,500,"sesonality1",0,0.04,18
-0.0556207051210659,-0.054660027327988,1,500,"sesonality1",0,0.04,18
-0.0566584601452508,-0.0558777931788248,1,500,"sesonality1",0,0.04,18
0.0198763303210301,0.0205341428576643,1,500,"sesonality1",0,0.04,18
-0.0339068190846033,-0.0325768980206576,1,500,"sesonality1",0,0.04,18
0.00304056521596934,0.00192360099368911,1,500,"sesonality1",0,0.04,18
0.0155489328757592,0.0151780425002447,1,500,"sesonality1",0,0.04,18
-0.0416510796594278,-0.0408953828184233,1,500,"sesonality1",0,0.04,18
-0.044497872642576,-0.044078998189347,1,500,"sesonality1",0,0.04,18
-0.0040189984802553,-0.00234190436097473,1,500,"sesonality1",0,0.04,18
-0.00392895426109792,-0.00382406064726218,1,500,"sesonality1",0,0.04,18
0.00968953860015628,0.00977523631211532,1,500,"sesonality1",0,0.04,18
-0.0440751276928316,-0.0453017649235358,1,500,"sesonality1",0,0.04,18
