"Test_True","Test_predicted","iteration","eir","seasonality","dosage","access","resistance_level"
-0.0666234967867195,-0.0606920105305205,1,5,"sesonality1",0,0.04,2.5
0.00260258906624208,-0.000205343059612624,1,5,"sesonality1",0,0.04,2.5
-0.0649641072033233,-0.0607409751111767,1,5,"sesonality1",0,0.04,2.5
-0.0293696321665825,-0.0304085808769789,1,5,"sesonality1",0,0.04,2.5
0.00889186197186848,0.00594452912042679,1,5,"sesonality1",0,0.04,2.5
-0.0464723862384944,-0.0472454504860841,1,5,"sesonality1",0,0.04,2.5
-0.0439286713514086,-0.0413170582007633,1,5,"sesonality1",0,0.04,2.5
-0.0115111407110643,-0.0128138726638437,1,5,"sesonality1",0,0.04,2.5
-0.0193333245060381,-0.0160806328050767,1,5,"sesonality1",0,0.04,2.5
0.00172926610078571,0.00253376419344219,1,5,"sesonality1",0,0.04,2.5
-0.0122687006148203,-0.0138412812191809,1,5,"sesonality1",0,0.04,2.5
-0.0547669645782793,-0.0530647386561702,1,5,"sesonality1",0,0.04,2.5
-0.0177604995581384,-0.0162428936184415,1,5,"sesonality1",0,0.04,2.5
-0.0127158523925909,-0.0150376063443282,1,5,"sesonality1",0,0.04,2.5
-0.0538438475035122,-0.0575189521092831,1,5,"sesonality1",0,0.04,2.5
0.00604157579037269,0.00385546423116847,1,5,"sesonality1",0,0.04,2.5
-0.0496773105617339,-0.0482395826893863,1,5,"sesonality1",0,0.04,2.5
-0.0430049827202326,-0.0430112030286233,1,5,"sesonality1",0,0.04,2.5
-0.0531272017071677,-0.0523507448762788,1,5,"sesonality1",0,0.04,2.5
-0.0282977041458664,-0.0262923343195968,1,5,"sesonality1",0,0.04,2.5
-0.0394014932549234,-0.042161404869202,1,5,"sesonality1",0,0.04,2.5
-0.066969340479206,-0.0667147688482465,1,5,"sesonality1",0,0.04,2.5
-0.0162242490270161,-0.0123360732453012,1,5,"sesonality1",0,0.04,2.5
0.000727179354499156,0.00317401681195666,1,5,"sesonality1",0,0.04,2.5
-0.0459676026177861,-0.0459991240730632,1,5,"sesonality1",0,0.04,2.5
-0.0301950889642687,-0.0300754703581709,1,5,"sesonality1",0,0.04,2.5
-0.00627118947800782,-0.00232421969022498,1,5,"sesonality1",0,0.04,2.5
-0.0433991745991889,-0.0450950349664407,1,5,"sesonality1",0,0.04,2.5
-0.0689617788116139,-0.0650397949364537,1,5,"sesonality1",0,0.04,2.5
-0.0528735729844551,-0.0546322046309693,1,5,"sesonality1",0,0.04,2.5
-0.0243391466114718,-0.0228498654110627,1,10,"sesonality1",0,0.04,2.5
0.00648963227107603,0.000208790363500407,1,10,"sesonality1",0,0.04,2.5
0.00168802729170012,-0.00250342081131053,1,10,"sesonality1",0,0.04,2.5
-0.0622714047816233,-0.0624669553171865,1,10,"sesonality1",0,0.04,2.5
-0.0169222101540978,-0.0152573021379,1,10,"sesonality1",0,0.04,2.5
-0.0306378769926371,-0.0326157993548171,1,10,"sesonality1",0,0.04,2.5
-0.0661405399054865,-0.0656591571423695,1,10,"sesonality1",0,0.04,2.5
-0.00408842022060617,-0.0069620091290725,1,10,"sesonality1",0,0.04,2.5
-0.0123539801917693,-0.0153898317320212,1,10,"sesonality1",0,0.04,2.5
-0.0334713968575441,-0.0351290990795663,1,10,"sesonality1",0,0.04,2.5
-0.0504676940483458,-0.0477257029807793,1,10,"sesonality1",0,0.04,2.5
-0.0090160893288774,-0.0127884168167547,1,10,"sesonality1",0,0.04,2.5
-0.0198302662563313,-0.0216034150173407,1,10,"sesonality1",0,0.04,2.5
-0.0211320255635036,-0.0181054156465477,1,10,"sesonality1",0,0.04,2.5
-0.0749950831583842,-0.0634171085372706,1,10,"sesonality1",0,0.04,2.5
0.00445056630729988,0.00655759779004652,1,10,"sesonality1",0,0.04,2.5
-0.0397709857741225,-0.0392948233809141,1,10,"sesonality1",0,0.04,2.5
-0.0386648644195107,-0.0392343695494024,1,10,"sesonality1",0,0.04,2.5
-0.0291400442798288,-0.0311160491095575,1,10,"sesonality1",0,0.04,2.5
-0.0669687347122885,-0.071654261609589,1,10,"sesonality1",0,0.04,2.5
-0.0656437856217509,-0.0672413948902646,1,10,"sesonality1",0,0.04,2.5
-0.0543913474239369,-0.0548244843365688,1,10,"sesonality1",0,0.04,2.5
-0.0766726547062552,-0.0771319849785476,1,10,"sesonality1",0,0.04,2.5
-0.0232201215442617,-0.0213268076363068,1,10,"sesonality1",0,0.04,2.5
-0.031877291952645,-0.0375838561638396,1,10,"sesonality1",0,0.04,2.5
0.00725933032557032,-0.00222500902961268,1,10,"sesonality1",0,0.04,2.5
-0.0590451140948075,-0.0583482915001706,1,10,"sesonality1",0,0.04,2.5
0.000589028286658852,-0.00285206610323374,1,10,"sesonality1",0,0.04,2.5
-0.0306272775089146,-0.0272175606731579,1,10,"sesonality1",0,0.04,2.5
-0.0201086955837418,-0.0109084572983576,1,10,"sesonality1",0,0.04,2.5
-0.0920686805095475,-0.0897877184287439,1,500,"sesonality1",0,0.04,2.5
-0.0733036389327142,-0.0748849074939821,1,500,"sesonality1",0,0.04,2.5
0.0102908899694292,0.00758334548940989,1,500,"sesonality1",0,0.04,2.5
-0.0879372678216736,-0.0874047317159757,1,500,"sesonality1",0,0.04,2.5
-0.0361388831069997,-0.0352266951132975,1,500,"sesonality1",0,0.04,2.5
-0.054134026735367,-0.0488165250812698,1,500,"sesonality1",0,0.04,2.5
0.00169935079616375,0.00431029737262591,1,500,"sesonality1",0,0.04,2.5
0.0181761142503193,0.0195860227972685,1,500,"sesonality1",0,0.04,2.5
-0.0559831589786933,-0.0544391575704915,1,500,"sesonality1",0,0.04,2.5
-0.00833731579344197,-0.00580702937292612,1,500,"sesonality1",0,0.04,2.5
-0.0376298308619216,-0.0391225581976474,1,500,"sesonality1",0,0.04,2.5
-0.0367122671085436,-0.0369521844630053,1,500,"sesonality1",0,0.04,2.5
-0.0728147269249906,-0.0699796709938415,1,500,"sesonality1",0,0.04,2.5
-0.032301453689954,-0.0333559549986394,1,500,"sesonality1",0,0.04,2.5
-0.0562015875801859,-0.0527497074180388,1,500,"sesonality1",0,0.04,2.5
-0.0660564857994763,-0.0641306349646589,1,500,"sesonality1",0,0.04,2.5
-0.0115698558362424,-0.0108144279465058,1,500,"sesonality1",0,0.04,2.5
-0.0514201051870442,-0.0497572908003534,1,500,"sesonality1",0,0.04,2.5
0.0148580389473199,0.00401484426128227,1,500,"sesonality1",0,0.04,2.5
-0.0671837117706061,-0.0695085283880811,1,500,"sesonality1",0,0.04,2.5
-0.0883757709295294,-0.0899034624715851,1,500,"sesonality1",0,0.04,2.5
-0.0227869595671301,-0.0222541673486372,1,500,"sesonality1",0,0.04,2.5
-0.0541858610389863,-0.0555950432379386,1,500,"sesonality1",0,0.04,2.5
0.0089303560450463,0.00719392988179137,1,500,"sesonality1",0,0.04,2.5
-0.0249552768807595,-0.0237226063433122,1,500,"sesonality1",0,0.04,2.5
-0.0866145030286654,-0.085046496025453,1,500,"sesonality1",0,0.04,2.5
-0.066446192567739,-0.0633519118743393,1,500,"sesonality1",0,0.04,2.5
-0.0156248950811704,-0.0194523469894501,1,500,"sesonality1",0,0.04,2.5
-0.0864697353899296,-0.0858200068321946,1,500,"sesonality1",0,0.04,2.5
-0.024255448845827,-0.0202977086476851,1,500,"sesonality1",0,0.04,2.5
0.0162384655392288,0.0165091558999615,1,5,"sesonality1",0,0.04,10
0.0131885934254254,0.0155028401839152,1,5,"sesonality1",0,0.04,10
0.0356022509628939,0.0384501649076347,1,5,"sesonality1",0,0.04,10
-0.00442540349988098,-0.00167931397908519,1,5,"sesonality1",0,0.04,10
-0.0245781214709237,-0.0234459025835712,1,5,"sesonality1",0,0.04,10
0.0194394229300591,0.023248553556943,1,5,"sesonality1",0,0.04,10
0.0251543916593894,0.0277718276549466,1,5,"sesonality1",0,0.04,10
0.0241342545667042,0.0249819007230193,1,5,"sesonality1",0,0.04,10
0.0352267916872739,0.0360692956804698,1,5,"sesonality1",0,0.04,10
-0.0282622528072418,-0.0279602116244912,1,5,"sesonality1",0,0.04,10
-0.00304357483183859,-0.00347289422119596,1,5,"sesonality1",0,0.04,10
-0.00190867902729904,-0.00247254050243117,1,5,"sesonality1",0,0.04,10
-0.0315992700072656,-0.0309301516506777,1,5,"sesonality1",0,0.04,10
0.013455369373202,0.00847940039371004,1,5,"sesonality1",0,0.04,10
-0.00793077205849098,-0.0114692916013033,1,5,"sesonality1",0,0.04,10
0.0203637135297453,0.0251572258288894,1,5,"sesonality1",0,0.04,10
0.00412945522693521,0.00885051389599298,1,5,"sesonality1",0,0.04,10
-0.0100890969555362,-0.00845722106114475,1,5,"sesonality1",0,0.04,10
-0.0120398221424813,-0.0118849855091676,1,5,"sesonality1",0,0.04,10
0.00875331545183213,0.0105138886015497,1,5,"sesonality1",0,0.04,10
-0.00742871500326293,-0.00995000766481033,1,5,"sesonality1",0,0.04,10
0.0208990017607458,0.022677960848036,1,5,"sesonality1",0,0.04,10
0.0239917626814908,0.0235019201673443,1,5,"sesonality1",0,0.04,10
0.00374895199462283,0.0107701181677911,1,5,"sesonality1",0,0.04,10
0.0306818701311032,0.0319779674387936,1,5,"sesonality1",0,0.04,10
0.0263299307959981,0.0225762660676385,1,5,"sesonality1",0,0.04,10
0.0234568326428036,0.0228089026739342,1,5,"sesonality1",0,0.04,10
-0.00494025018847936,-0.00807561743431504,1,5,"sesonality1",0,0.04,10
0.01041265295141,0.00796187117970074,1,5,"sesonality1",0,0.04,10
0.0274309860301245,0.0289676109882629,1,5,"sesonality1",0,0.04,10
0.0162404946162254,0.0174083194385652,1,10,"sesonality1",0,0.04,10
0.00777320886141934,0.00652008228174137,1,10,"sesonality1",0,0.04,10
-0.0364449109194017,-0.0353969773329111,1,10,"sesonality1",0,0.04,10
-0.0132304101332673,-0.0101033049496504,1,10,"sesonality1",0,0.04,10
-0.0346440121112591,-0.0350594204038645,1,10,"sesonality1",0,0.04,10
-0.0178498742735237,-0.0152970504289706,1,10,"sesonality1",0,0.04,10
0.0356239753860302,0.0347491914994809,1,10,"sesonality1",0,0.04,10
0.0347490203480928,0.0340839960257095,1,10,"sesonality1",0,0.04,10
0.0242439838840164,0.0247237821994112,1,10,"sesonality1",0,0.04,10
0.0455864596861402,0.04678111187366,1,10,"sesonality1",0,0.04,10
-0.0097661218928777,-0.0101865854793847,1,10,"sesonality1",0,0.04,10
-0.00425413083338046,-0.00316960904863555,1,10,"sesonality1",0,0.04,10
-0.0112305142619368,-0.011584614204635,1,10,"sesonality1",0,0.04,10
-0.0248889459495344,-0.0305779585896137,1,10,"sesonality1",0,0.04,10
0.00556211183518454,0.00557406233176366,1,10,"sesonality1",0,0.04,10
0.0306736952995137,0.0327033720073013,1,10,"sesonality1",0,0.04,10
0.00222804493949358,0.00343947627367174,1,10,"sesonality1",0,0.04,10
-0.00667275482504987,-0.00639679176263343,1,10,"sesonality1",0,0.04,10
-0.0201633435348033,-0.0223793748803783,1,10,"sesonality1",0,0.04,10
-0.0233451367800657,-0.024607481196527,1,10,"sesonality1",0,0.04,10
0.0120701982159143,0.0133564825981686,1,10,"sesonality1",0,0.04,10
0.0175667652040992,0.0171988502536927,1,10,"sesonality1",0,0.04,10
0.000366663839372604,-0.00156295764585759,1,10,"sesonality1",0,0.04,10
-0.00303594645403666,-0.00129531476897894,1,10,"sesonality1",0,0.04,10
-0.0434233496918817,-0.0440508093599374,1,10,"sesonality1",0,0.04,10
0.0169809002320179,0.0154789498222408,1,10,"sesonality1",0,0.04,10
-0.0121788469426887,-0.012559370944605,1,10,"sesonality1",0,0.04,10
-0.0247485363407365,-0.0235658304785357,1,10,"sesonality1",0,0.04,10
0.00709808432942865,0.0070954026055428,1,10,"sesonality1",0,0.04,10
-0.0248154557642955,-0.0222038650201831,1,10,"sesonality1",0,0.04,10
-0.0543336796169732,-0.05385148575663,1,500,"sesonality1",0,0.04,10
0.00839862743160996,0.00617930202156731,1,500,"sesonality1",0,0.04,10
0.0524931877306605,0.0543234034794802,1,500,"sesonality1",0,0.04,10
-0.0512011228048408,-0.0507296112280409,1,500,"sesonality1",0,0.04,10
0.0421141706752406,0.0435937321593539,1,500,"sesonality1",0,0.04,10
0.0270686894528131,0.0277839708071513,1,500,"sesonality1",0,0.04,10
0.03591536739647,0.0354850669552002,1,500,"sesonality1",0,0.04,10
5.69614172162088e-05,0.00390385859057876,1,500,"sesonality1",0,0.04,10
0.0124039638449545,0.0117381852015715,1,500,"sesonality1",0,0.04,10
0.00153648020516221,0.00477474562575881,1,500,"sesonality1",0,0.04,10
0.0105084911380007,0.00848057646978239,1,500,"sesonality1",0,0.04,10
-0.0280223900339092,-0.0299780787596864,1,500,"sesonality1",0,0.04,10
0.0123846561518575,0.0128665006744817,1,500,"sesonality1",0,0.04,10
-0.0144798631118714,-0.0129738996586339,1,500,"sesonality1",0,0.04,10
-0.000574347151282881,-0.00173141911410925,1,500,"sesonality1",0,0.04,10
-0.027801103558026,-0.0275490164976379,1,500,"sesonality1",0,0.04,10
-0.0596794967919872,-0.0595722788525923,1,500,"sesonality1",0,0.04,10
0.00312547987805573,0.00508024616226748,1,500,"sesonality1",0,0.04,10
0.0164429502681434,0.0177264462407619,1,500,"sesonality1",0,0.04,10
-0.0172367475168609,-0.0169467849306435,1,500,"sesonality1",0,0.04,10
0.0147057019823294,0.0138028368782031,1,500,"sesonality1",0,0.04,10
0.0417156641064447,0.042196933282254,1,500,"sesonality1",0,0.04,10
0.0547276917346189,0.0456779759369953,1,500,"sesonality1",0,0.04,10
-0.0207998608909038,-0.0213035989375866,1,500,"sesonality1",0,0.04,10
-0.0122430140330555,-0.0119343475813851,1,500,"sesonality1",0,0.04,10
0.0148894744458207,0.0143138991597746,1,500,"sesonality1",0,0.04,10
-0.0223829176215037,-0.0204853904787076,1,500,"sesonality1",0,0.04,10
-0.0053272854414961,-0.00381141684021262,1,500,"sesonality1",0,0.04,10
-0.0444998003112758,-0.0439465502987387,1,500,"sesonality1",0,0.04,10
0.0160954685115173,0.0159985246063036,1,500,"sesonality1",0,0.04,10
0.0888579590064594,0.0931740035015461,1,5,"sesonality1",0,0.5,2.5
0.043575403234479,0.0486432059493031,1,5,"sesonality1",0,0.5,2.5
0.0975010472020302,0.107408152212681,1,5,"sesonality1",0,0.5,2.5
0.0438806041111603,0.0455790022899113,1,5,"sesonality1",0,0.5,2.5
0.114769352508655,0.109251096613785,1,5,"sesonality1",0,0.5,2.5
0.081308023602374,0.0787208395379346,1,5,"sesonality1",0,0.5,2.5
0.0472398293771366,0.0457551005703429,1,5,"sesonality1",0,0.5,2.5
0.0365400345803429,0.0377740744691687,1,5,"sesonality1",0,0.5,2.5
0.088449455248901,0.0972594799156222,1,5,"sesonality1",0,0.5,2.5
0.0614147156823759,0.069242118484067,1,5,"sesonality1",0,0.5,2.5
0.0295978349988939,0.0411518781989123,1,5,"sesonality1",0,0.5,2.5
0.0646204595056646,0.076034474754419,1,5,"sesonality1",0,0.5,2.5
0.0699690248685545,0.0711753108438878,1,5,"sesonality1",0,0.5,2.5
0.0456209662346036,0.0372355848942573,1,5,"sesonality1",0,0.5,2.5
-0.00598915528003152,-0.00347907401038129,1,5,"sesonality1",0,0.5,2.5
0.0235513262238461,0.0145667308971808,1,5,"sesonality1",0,0.5,2.5
0.0798751619936278,0.0745074052639318,1,5,"sesonality1",0,0.5,2.5
0.0264800815685046,0.0256031114328721,1,5,"sesonality1",0,0.5,2.5
0.0816624906423806,0.0812120766672826,1,5,"sesonality1",0,0.5,2.5
0.0747004600680771,0.0736733966184976,1,5,"sesonality1",0,0.5,2.5
0.0638702614376203,0.0760843269855626,1,5,"sesonality1",0,0.5,2.5
0.0703455424585025,0.0737219039763161,1,5,"sesonality1",0,0.5,2.5
0.0470226151604128,0.0423172166002317,1,5,"sesonality1",0,0.5,2.5
0.0395288113711049,0.0299465115808908,1,5,"sesonality1",0,0.5,2.5
0.0283621875822797,0.0358482545375373,1,5,"sesonality1",0,0.5,2.5
0.0923999672411115,0.110401669348678,1,5,"sesonality1",0,0.5,2.5
0.0427163308945389,0.0496287599122859,1,5,"sesonality1",0,0.5,2.5
0.108881004249654,0.102383014740242,1,5,"sesonality1",0,0.5,2.5
0.0448447799329104,0.0413262467244197,1,5,"sesonality1",0,0.5,2.5
0.0310353356410543,0.0184922135259086,1,5,"sesonality1",0,0.5,2.5
0.0592810068651335,0.0665729311192265,1,10,"sesonality1",0,0.5,2.5
0.0661731420147439,0.089729869897799,1,10,"sesonality1",0,0.5,2.5
0.0673802462233707,0.11179024710906,1,10,"sesonality1",0,0.5,2.5
0.00880891397852282,0.0362528974722091,1,10,"sesonality1",0,0.5,2.5
0.0726091420590668,0.0695841667102579,1,10,"sesonality1",0,0.5,2.5
0.035612986025651,0.030833932050527,1,10,"sesonality1",0,0.5,2.5
0.0965721337197957,0.0998170881264029,1,10,"sesonality1",0,0.5,2.5
0.0270990547408847,0.032442791296732,1,10,"sesonality1",0,0.5,2.5
0.105187487003201,0.0967876757050156,1,10,"sesonality1",0,0.5,2.5
0.0615222374177616,0.0572099968326914,1,10,"sesonality1",0,0.5,2.5
0.114234793430163,0.110272952212373,1,10,"sesonality1",0,0.5,2.5
0.0592889838538251,0.053456516684297,1,10,"sesonality1",0,0.5,2.5
0.0875732357177579,0.0971925941193577,1,10,"sesonality1",0,0.5,2.5
0.106222479507803,0.107005778134985,1,10,"sesonality1",0,0.5,2.5
0.0792718538879312,0.0710852182267691,1,10,"sesonality1",0,0.5,2.5
0.0681222414254952,0.0965685183984046,1,10,"sesonality1",0,0.5,2.5
0.0866564489982019,0.0854904589666419,1,10,"sesonality1",0,0.5,2.5
0.102858270325833,0.100680295442763,1,10,"sesonality1",0,0.5,2.5
0.0596423888583214,0.0515806842103754,1,10,"sesonality1",0,0.5,2.5
0.113075939865741,0.104081189144551,1,10,"sesonality1",0,0.5,2.5
0.0977802855634897,0.102236424671517,1,10,"sesonality1",0,0.5,2.5
0.0691523489625306,0.0696169405757683,1,10,"sesonality1",0,0.5,2.5
0.0732676151812855,0.0759360385010399,1,10,"sesonality1",0,0.5,2.5
0.0586200417662318,0.0560568086061279,1,10,"sesonality1",0,0.5,2.5
0.0552900681896589,0.0819835101752006,1,10,"sesonality1",0,0.5,2.5
0.0265555911425119,0.0334930170790709,1,10,"sesonality1",0,0.5,2.5
0.0410090875604958,0.0504566199522215,1,10,"sesonality1",0,0.5,2.5
0.0236144705636526,0.0207357298993436,1,10,"sesonality1",0,0.5,2.5
0.0729080294558654,0.0895963684750271,1,10,"sesonality1",0,0.5,2.5
0.16732104628276,0.118077963566169,1,10,"sesonality1",0,0.5,2.5
0.196297066826023,0.192555192672383,1,500,"sesonality1",0,0.5,2.5
0.0742321356231354,0.0773429684443067,1,500,"sesonality1",0,0.5,2.5
0.141891461889403,0.146473860851009,1,500,"sesonality1",0,0.5,2.5
0.0803850542063769,0.0873601328606494,1,500,"sesonality1",0,0.5,2.5
0.0573381323011651,0.050359973499487,1,500,"sesonality1",0,0.5,2.5
0.0601700550822917,0.0572447481566483,1,500,"sesonality1",0,0.5,2.5
0.134790357072981,0.13190471511863,1,500,"sesonality1",0,0.5,2.5
0.175126123238177,0.173569796320879,1,500,"sesonality1",0,0.5,2.5
0.20432348698343,0.189786871809531,1,500,"sesonality1",0,0.5,2.5
0.141863392390197,0.137126242558258,1,500,"sesonality1",0,0.5,2.5
0.116092057716063,0.121313798234381,1,500,"sesonality1",0,0.5,2.5
0.213749086899799,0.196300908151518,1,500,"sesonality1",0,0.5,2.5
0.107820150350471,0.103132497118767,1,500,"sesonality1",0,0.5,2.5
0.194921892738155,0.195216322635129,1,500,"sesonality1",0,0.5,2.5
0.0992324248899491,0.0876051677671863,1,500,"sesonality1",0,0.5,2.5
0.0792966975848761,0.0747208885260051,1,500,"sesonality1",0,0.5,2.5
0.0149689086251679,0.0206940175415306,1,500,"sesonality1",0,0.5,2.5
0.165003683491182,0.161130445601237,1,500,"sesonality1",0,0.5,2.5
0.120547407020017,0.123002733421322,1,500,"sesonality1",0,0.5,2.5
0.167506822208224,0.166375354093683,1,500,"sesonality1",0,0.5,2.5
0.071360076287528,0.062361560737475,1,500,"sesonality1",0,0.5,2.5
0.149722231123773,0.15684697222235,1,500,"sesonality1",0,0.5,2.5
0.107882774166458,0.10875690839091,1,500,"sesonality1",0,0.5,2.5
0.0736311645406299,0.0804911840360104,1,500,"sesonality1",0,0.5,2.5
0.117595362666836,0.111169145931044,1,500,"sesonality1",0,0.5,2.5
0.0912806851088547,0.0971890899626502,1,500,"sesonality1",0,0.5,2.5
0.0731478811278159,0.114165062569644,1,500,"sesonality1",0,0.5,2.5
0.518331745419791,0.508681098831414,1,5,"sesonality1",0,0.5,10
0.650072584521557,0.63044019616132,1,5,"sesonality1",0,0.5,10
0.48781521214915,0.468766568147606,1,5,"sesonality1",0,0.5,10
0.559854999854364,0.570352842952557,1,5,"sesonality1",0,0.5,10
0.537788120128982,0.53851397004723,1,5,"sesonality1",0,0.5,10
0.594380151254086,0.592650215936998,1,5,"sesonality1",0,0.5,10
0.4981090855038,0.501777295133894,1,5,"sesonality1",0,0.5,10
0.555660196741208,0.561474940961738,1,5,"sesonality1",0,0.5,10
0.567522902866711,0.570997915581808,1,5,"sesonality1",0,0.5,10
0.645019345914188,0.660017220116608,1,5,"sesonality1",0,0.5,10
0.549880430584932,0.55867433460009,1,5,"sesonality1",0,0.5,10
0.548954597135741,0.555134302844354,1,5,"sesonality1",0,0.5,10
0.52745683174346,0.523863030133325,1,5,"sesonality1",0,0.5,10
0.511842995724453,0.51302057910376,1,5,"sesonality1",0,0.5,10
0.629151469032893,0.628658651323314,1,5,"sesonality1",0,0.5,10
0.464430114233266,0.46874898341818,1,5,"sesonality1",0,0.5,10
0.60067267568786,0.602260533167492,1,5,"sesonality1",0,0.5,10
0.438488979405266,0.42439305987379,1,5,"sesonality1",0,0.5,10
0.596898527013851,0.596758664709151,1,5,"sesonality1",0,0.5,10
0.534440085933985,0.534641251625697,1,5,"sesonality1",0,0.5,10
0.582646195751721,0.587578924122872,1,5,"sesonality1",0,0.5,10
0.557522013988385,0.559138510576728,1,5,"sesonality1",0,0.5,10
0.54591642598018,0.550471427598035,1,5,"sesonality1",0,0.5,10
0.414288210227242,0.422692214987364,1,5,"sesonality1",0,0.5,10
0.457318139770374,0.454768971184194,1,5,"sesonality1",0,0.5,10
0.542616268392791,0.537466043620044,1,5,"sesonality1",0,0.5,10
0.578962238158411,0.571152994375536,1,5,"sesonality1",0,0.5,10
0.385181689592446,0.398268737198567,1,5,"sesonality1",0,0.5,10
0.448630547951638,0.448461289730408,1,5,"sesonality1",0,0.5,10
0.517448834092068,0.515990490050446,1,5,"sesonality1",0,0.5,10
0.499929035176151,0.493569633356503,1,10,"sesonality1",0,0.5,10
0.458432168871912,0.444105604446055,1,10,"sesonality1",0,0.5,10
0.443532564737902,0.433586359436267,1,10,"sesonality1",0,0.5,10
0.540689532197285,0.538870617049533,1,10,"sesonality1",0,0.5,10
0.565442509603932,0.583522626480656,1,10,"sesonality1",0,0.5,10
0.363643868877153,0.366870242201659,1,10,"sesonality1",0,0.5,10
0.619296930030222,0.60995191477992,1,10,"sesonality1",0,0.5,10
0.542809660540287,0.544987306549311,1,10,"sesonality1",0,0.5,10
0.61389205326158,0.603497576844386,1,10,"sesonality1",0,0.5,10
0.477854415254862,0.479151410094163,1,10,"sesonality1",0,0.5,10
0.496735796635924,0.501893139814853,1,10,"sesonality1",0,0.5,10
0.38051196598396,0.374008958265075,1,10,"sesonality1",0,0.5,10
0.458704663562887,0.470422411081089,1,10,"sesonality1",0,0.5,10
0.606845436037283,0.597628094557174,1,10,"sesonality1",0,0.5,10
0.535544772171893,0.549426860010046,1,10,"sesonality1",0,0.5,10
0.426133288520096,0.41842143927381,1,10,"sesonality1",0,0.5,10
0.540408395453965,0.540709951027861,1,10,"sesonality1",0,0.5,10
0.475728065441524,0.478084388835553,1,10,"sesonality1",0,0.5,10
0.49841992214266,0.50376677447753,1,10,"sesonality1",0,0.5,10
0.539430696840535,0.530805630979774,1,10,"sesonality1",0,0.5,10
0.426565955874191,0.434867861804509,1,10,"sesonality1",0,0.5,10
0.577244154114423,0.581971274190446,1,10,"sesonality1",0,0.5,10
0.580997642984342,0.575788088309465,1,10,"sesonality1",0,0.5,10
0.422725359823528,0.437955401466255,1,10,"sesonality1",0,0.5,10
0.519596461999307,0.521863039577984,1,10,"sesonality1",0,0.5,10
0.516017000679798,0.51730714216532,1,10,"sesonality1",0,0.5,10
0.471188440044109,0.463527319159525,1,10,"sesonality1",0,0.5,10
0.609679752676804,0.618188308739393,1,10,"sesonality1",0,0.5,10
0.497508218069464,0.491195037219268,1,10,"sesonality1",0,0.5,10
0.579351624565465,0.577242695134676,1,10,"sesonality1",0,0.5,10
0.462883044321078,0.446082050508157,1,500,"sesonality1",0,0.5,10
0.409793463975628,0.410276507423064,1,500,"sesonality1",0,0.5,10
0.462503372610458,0.46959087280519,1,500,"sesonality1",0,0.5,10
0.443871278613679,0.452156118978613,1,500,"sesonality1",0,0.5,10
0.509685253909085,0.508822377369511,1,500,"sesonality1",0,0.5,10
0.503345685764693,0.498418275697091,1,500,"sesonality1",0,0.5,10
0.597940769849261,0.567154421271184,1,500,"sesonality1",0,0.5,10
0.48398196242861,0.482157801097971,1,500,"sesonality1",0,0.5,10
0.404840063132865,0.39465954856393,1,500,"sesonality1",0,0.5,10
-0.0227390136411994,-0.0202429157668458,1,5,"sesonality1",1,0.04,2.5
-0.0620560290805795,-0.0651792920255585,1,5,"sesonality1",1,0.04,2.5
-0.0557243791080896,-0.0557175798193817,1,5,"sesonality1",1,0.04,2.5
-0.0470919771454451,-0.0472782660372065,1,5,"sesonality1",1,0.04,2.5
0.00041602923778312,0.000644219093947913,1,5,"sesonality1",1,0.04,2.5
-0.0290695358672493,-0.0303437729991256,1,5,"sesonality1",1,0.04,2.5
-0.0345481739935697,-0.0348251711556929,1,5,"sesonality1",1,0.04,2.5
-0.0426770605740706,-0.0430022030708779,1,5,"sesonality1",1,0.04,2.5
-0.00766333615600708,-0.00401576417124131,1,5,"sesonality1",1,0.04,2.5
-0.0439661508847546,-0.0430834331150677,1,5,"sesonality1",1,0.04,2.5
-0.01290498642941,-0.0172063290283766,1,5,"sesonality1",1,0.04,2.5
-0.00814641753444013,-0.0109717952073683,1,5,"sesonality1",1,0.04,2.5
-0.0516264907295569,-0.0528672266091312,1,5,"sesonality1",1,0.04,2.5
-0.0172066752848697,-0.0154865095629696,1,5,"sesonality1",1,0.04,2.5
-0.0363165579425867,-0.0338536714471277,1,5,"sesonality1",1,0.04,2.5
-0.00661124655409873,-0.0037536674616552,1,5,"sesonality1",1,0.04,2.5
-0.0414270704113546,-0.0442009213112743,1,5,"sesonality1",1,0.04,2.5
-0.0110395673799301,-0.0130923712682588,1,5,"sesonality1",1,0.04,2.5
-0.0040912714807195,-0.00529562324193049,1,5,"sesonality1",1,0.04,2.5
0.00426104738018552,0.00456173591670388,1,5,"sesonality1",1,0.04,2.5
-0.054606211148242,-0.0550073263615995,1,5,"sesonality1",1,0.04,2.5
-0.0523447575020502,-0.0514575540695621,1,5,"sesonality1",1,0.04,2.5
-0.0424987556162044,-0.0455596741334497,1,5,"sesonality1",1,0.04,2.5
-0.0709203310477023,-0.0683997940275401,1,5,"sesonality1",1,0.04,2.5
-0.0430416706697649,-0.041610933943303,1,5,"sesonality1",1,0.04,2.5
-0.0486695844408723,-0.04929428538901,1,5,"sesonality1",1,0.04,2.5
-0.0198205014677612,-0.0164619369787775,1,5,"sesonality1",1,0.04,2.5
