"Setting","Factor","First","Effect","MAX","MIN","EIR","Resistance_level","Treatment_access","Dosage","Seasonality","sum_first"
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","IC50_S_short",0.00187977880829117,"Total",0.00190412118516239,0.00185445079006685,10,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","half-life_short",0.00156697878678488,"Total",0.00158905040843264,0.00154543979033487,10,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","MKR_short",0.00346693407472683,"Total",0.00351588257593563,0.00341814093840052,10,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","Cmax/IC50",0.00343531841873929,"Total",0.00350871170566325,0.00336489380854625,10,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","Fitness",0.950840175911828,"First",0.991423687035062,0.991211836226987,500,7,0.04,0,"sesonality1",1.04256702563502
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","half-life_long",0.0064244001862766,"First",0.0141807198548814,-0.000156212143753961,500,7,0.04,0,"sesonality1",1.04256702563502
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","MKR_long",0.00669648599230931,"First",0.0144767715540663,8.41724118774926e-05,500,7,0.04,0,"sesonality1",1.04256702563502
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","Diangostic",0.00666249622591996,"First",0.0144407460179114,1.73468776392492e-05,500,7,0.04,0,"sesonality1",1.04256702563502
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","IC50_S_short",0.00676971281149407,"First",0.0145715881291446,0.000173577870296357,500,7,0.04,0,"sesonality1",1.04256702563502
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","half-life_short",0.00718085235721095,"First",0.0149420931774437,0.000462074049600242,500,7,0.04,0,"sesonality1",1.04256702563502
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","MKR_short",0.00686512797191929,"First",0.0147284381682012,0.000193478252670635,500,7,0.04,0,"sesonality1",1.04256702563502
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","Cmax/IC50",0.00856074854304145,"First",0.0165701386720491,0.00200002691987901,500,7,0.04,0,"sesonality1",1.04256702563502
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","Fitness",0.988749551263238,"Total",0.995760108666213,0.981269803896017,500,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","half-life_long",0.000865570796179548,"Total",0.000877935703836162,0.000853877530462833,500,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","MKR_long",0.000892998464850139,"Total",0.000906181424390355,0.000879523887628776,500,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","Diangostic",0.00241586423880541,"Total",0.00244810048033468,0.00238233844453013,500,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","IC50_S_short",0.000683956224941619,"Total",0.000693599824522395,0.000673473811873937,500,7,0.04,0,"sesonality1",0
