"L","M","U","x","G","EIR","Resistance_level","Access","Dosage","Seasonality","drug"
-0.0284425723428385,-0.00963937165430335,0.00994466944503544,8,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0281520039700877,-0.010036799193653,0.00924660125490745,9,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0285562330754169,-0.00989318001288193,0.00914252590554375,10,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0280817028293433,-0.00931796912650157,0.00961401204380572,11,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0287029658835468,-0.00990626632626882,0.0099976362147135,12,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0282749195473811,-0.00978966299244659,0.00973473671114078,13,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0282069847864357,-0.00900648227863354,0.00986473911482668,14,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0290254278931068,-0.00994870479103872,0.00887975724181914,15,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0292462680769704,-0.0110770754330838,0.00867563349308684,16,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0291557127159482,-0.0106964483517666,0.00859462433824199,17,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0287298944143506,-0.00926275603625035,0.0100011832877523,18,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0290455073697806,-0.0104158950084595,0.00827388197024105,19,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.029371905678431,-0.0102497530689793,0.00907427300801109,20,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0291501008588598,-0.0112177867585443,0.00876239476864874,21,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0294936220007814,-0.0111262104807787,0.00826131481528119,22,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0284610767270664,-0.0100725040402173,0.00866378456829625,23,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0293411143683022,-0.0118106808190629,0.0078114662966591,24,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.029647486716476,-0.0113190219569806,0.00841218005452535,25,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
