"Fitness","Access","eir","Resistance_Level_long","half_life_long","MKR_long","Diagnostic","IC50_S_short","Resistance_Level_short","half_life_short","MKR_short","C_max_IC50","Indicator","sd2","nug","time_0.1"
1,0.3,5,1,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.00103680284577381,0.00125948222770693,4.06856325689956e-06,562.065644996838
1,0.3,5,3.08333333333333,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.0150696617278809,0.00117269086582216,3.87732668076389e-06,38.670493788606
1,0.3,5,5.16666666666667,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.0362806689349079,0.00112139512915083,3.88860076558016e-06,16.0623074863901
1,0.3,5,7.25,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.0619999291941952,0.00105995030921473,4.12270653554646e-06,9.399224609098
1,0.3,5,9.33333333333333,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.0858301433811815,0.000981145476154706,4.59302912723147e-06,6.78958740236921
1,0.3,5,11.4166666666667,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.101029141487573,0.000901668919416413,5.21040219005723e-06,5.76815017591822
1,0.3,5,13.5,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.103902708397828,0.000847410886001054,5.74658419652224e-06,5.60862434897409
1,0.3,10,1,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.00125500006027247,0.00124202887217056,4.07205480739763e-06,464.343611360379
1,0.3,10,3.08333333333333,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.0150720280224497,0.00115522841560686,3.87314146293378e-06,38.6644225565671
1,0.3,10,5.16666666666667,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.0360800390452473,0.00110375375742251,3.87538695746075e-06,16.1516249889196
1,0.3,10,7.25,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.0616146647643607,0.00104235190681964,4.09787161810508e-06,9.45799611948046
1,0.3,10,9.33333333333333,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.0852549636968495,0.00096395271126609,4.55300160246411e-06,6.83539391696378
1,0.3,10,11.4166666666667,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.100232031239495,0.000885069316975428,5.15144367340125e-06,5.8140222545424
1,0.3,10,13.5,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.102852517888355,0.000831369335500572,5.66682749420469e-06,5.66589201906543
1,0.3,500,1,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,-0.00121334173602849,0.0012284074438108,1.26431471574497e-05,-480.286174076461
1,0.3,500,3.08333333333333,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.0153051446259746,0.00106968622068634,1.34921829908373e-05,38.0755147687671
1,0.3,500,5.16666666666667,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.0368324844803136,0.000988457375360033,1.41337387936478e-05,15.8216658057885
1,0.3,500,7.25,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.0602249940283482,0.000945534768189656,1.44047017229488e-05,9.67623608181861
1,0.3,500,9.33333333333333,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.0810008463548074,0.000919853311795497,1.44743565133193e-05,7.19438483015094
1,0.3,500,11.4166666666667,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.0957448599443409,0.000906481571994847,1.4486672151617e-05,6.08650177756991
1,0.3,500,13.5,11.15,3.5,20,0.009,1.5,0.036,27.7,5.5,0.102904704407015,0.000913247932150074,1.41023863969747e-05,5.66301865014333
1,0.3,5,1,11.15,3.5,20,0.009,3.5,0.036,27.7,5.5,0.014472578155961,0.00118634565133075,4.04374650429857e-06,40.265891395749
1,0.3,5,3.08333333333333,11.15,3.5,20,0.009,3.5,0.036,27.7,5.5,0.0342277196285074,0.00110105727447683,3.91661278080557e-06,17.0257109316466
1,0.3,5,5.16666666666667,11.15,3.5,20,0.009,3.5,0.036,27.7,5.5,0.0616827069527524,0.00105113802354642,4.00169495925735e-06,9.44756300482707
1,0.3,5,7.25,11.15,3.5,20,0.009,3.5,0.036,27.7,5.5,0.0935140989281269,0.000990445659566182,4.32487599109832e-06,6.23169411804208
1,0.3,5,9.33333333333333,11.15,3.5,20,0.009,3.5,0.036,27.7,5.5,0.12254631808353,0.000910673596740557,4.90447316158477e-06,4.75535511272723
1,0.3,5,11.4166666666667,11.15,3.5,20,0.009,3.5,0.036,27.7,5.5,0.141473944467819,0.000827572838927633,5.64124226684904e-06,4.11914195533702
1,0.3,5,13.5,11.15,3.5,20,0.009,3.5,0.036,27.7,5.5,0.146385125181505,0.00076737253236681,6.27133106277622e-06,3.98094587494359
1,0.3,10,1,11.15,3.5,20,0.009,3.5,0.036,27.7,5.5,0.0146994125440456,0.00116888262934571,4.03531731391494e-06,39.6445271876168
1,0.3,10,3.08333333333333,11.15,3.5,20,0.009,3.5,0.036,27.7,5.5,0.0342666015600396,0.00108356034154354,3.90185342899784e-06,17.0063920468844
1,0.3,10,5.16666666666667,11.15,3.5,20,0.009,3.5,0.036,27.7,5.5,0.0615502963067819,0.00103341847260434,3.9786043303714e-06,9.46788716239216
1,0.3,10,7.25,11.15,3.5,20,0.009,3.5,0.036,27.7,5.5,0.0932281689622703,0.000972725174993227,4.29005362158935e-06,6.25080666853228
1,0.3,10,9.33333333333333,11.15,3.5,20,0.009,3.5,0.036,27.7,5.5,0.122095304682434,0.000893315760050101,4.85349942370201e-06,4.77292113533877
