"Survey","nHost","nInfect","nExpectd","nPatent","nTransmit","nTreatments1","nUncomp","innoculationsPerAgeGroup","innoculationsPerAgeGroup_2","Vector_Nv","Vector_Nv_2","inputEIR","simulatedEIR","nMDAs","nMassScreenings","nTreatDiagnostics","nInfectByGenotype","nInfectByGenotype_2","nPatentByGenotype","nPatentByGenotype_2","nHostDrugConcNonZero","nHostDrugConcNonZero_2","nHostDrugConcNonZero_3","nHostDrugConcNonZero_4","sumLogDrugConcNonZero","sumLogDrugConcNonZero_2","Inoculation_S","Inoculation_R","Infection_S","Infection_R","Patent_S","Patent_R"
71,1e+05,70566,98825.9,32501,0.0192455,8101,10453,1270370,64713.8,4129320,23575500,7.31297,2.94928,0,0,8240,69177,7607,23256,1668,0,21970,0,0,-77840.1,0,0.951528286089607,0.0484717139103927,0.900929881225255,0.0990701187747447,0.93307655272027,0.0669234472797304
72,1e+05,70617,98827.6,32700,0.0193799,8186,10513,1280930,65123,4129320,23575500,7.31297,2.9735,0,0,8305,69221,7682,23432,1643,0,21990,0,0,-77663.2,0,0.951619289879373,0.0483807101206268,0.900107928169252,0.0998920718307478,0.934476570289133,0.0655234297108674
73,1e+05,70348,98828.5,32649,0.0190849,8010,10308,1278720,68400.5,4129320,23575500,7.31297,2.97591,0,0,8116,68937,7858,23190,1678,0,22039,0,0,-78181.5,0,0.949224661045541,0.0507753389544588,0.897675629923823,0.102324370076177,0.932523725269423,0.0674762747305774
74,1e+05,70588,98827.1,32666,0.01926,8059,10304,1270090,66310.6,4129320,23575500,7.31297,2.95218,0,0,8182,69242,7816,23654,1632,0,21992,0,0,-77872.4,0,0.950381195578631,0.0496188044213689,0.8985699083807,0.1014300916193,0.935458356402753,0.0645416435972475
75,1e+05,70747,98827.7,32657,0.019494,8124,10477,1272320,68906.5,4129320,23575500,7.31297,2.96286,0,0,8242,69313,7979,23422,1671,0,22091,0,0,-78095.8,0,0.94862426294142,0.0513757370585803,0.896768100191482,0.103231899808518,0.933407723269438,0.0665922767305623
76,1e+05,70597,98829.6,32826,0.0192461,8229,10701,1286200,67956.7,4129320,23575500,7.31297,2.99141,0,0,8348,69209,7883,23396,1709,0,22300,0,0,-78837.9,0,0.94981622141662,0.0501837785833796,0.897745550770508,0.102254449229492,0.931925911173073,0.0680740888269269
77,1e+05,70725,98829.5,32774,0.0191031,8050,10423,1281930,69151.4,4129320,23575500,7.31297,2.98463,0,0,8186,69308,8089,23554,1681,0,22198,0,0,-78721.7,0,0.948817739626939,0.0511822603730612,0.895486905177203,0.104513094822797,0.933386170001981,0.0666138299980186
78,1e+05,70605,98828.5,32739,0.0197581,8152,10510,1273960,69205.2,4129320,23575500,7.31297,2.96714,0,0,8265,69264,8034,23576,1714,0,22192,0,0,-78613.5,0,0.948476032583334,0.0515239674166662,0.89606458123108,0.10393541876892,0.93222617635429,0.0677738236457098
79,1e+05,70593,98831.3,32863,0.0194311,8073,10418,1292260,71018.8,4129320,23575500,7.31297,3.01154,0,0,8172,69176,8178,23463,1696,0,22151,0,0,-78500.8,0,0.947905886895622,0.0520941131043775,0.894278253225431,0.105721746774569,0.932588735641321,0.0674112643586788
80,1e+05,70753,98831,32734,0.0191596,8300,10605,1289810,68691.3,4129320,23575500,7.31297,3.00103,0,0,8416,69340,8119,23365,1691,0,22297,0,0,-78703,0,0.949435970359395,0.0505640296406047,0.895183258239843,0.104816741760157,0.932511174968072,0.0674888250319285
