"L","M","U","x","G","EIR","Resistance_level","Access","Dosage","Seasonality"
-0.0453367964742773,-0.00330555730730934,0.0687053105198268,17,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0454906900997465,-0.00276764640664306,0.0690564453670974,18,"IC50_S_short",1,1,1,1,"sesonality1"
-0.045214701768039,9.19317882195456e-05,0.0725431269039461,19,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0461574230763319,-0.00260619305770882,0.069329366555633,20,"IC50_S_short",1,1,1,1,"sesonality1"
-0.045474305941805,-0.00170699165991639,0.0674727597961336,21,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0439776360634178,0.000773031054364721,0.0714121654632697,22,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0442396347044606,-0.000489611873084939,0.0715603257830207,23,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0438074501481964,0.0012193170205408,0.0731476910499009,24,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0446124532675644,-0.000273067152399156,0.0704495783548861,25,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0438220253033882,-0.0010751460030389,0.0696173029768692,26,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0449148422827807,-0.000966002183655857,0.0676539972151153,27,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0436596423783176,-0.000100662742395742,0.0708968746239853,28,"IC50_S_short",1,1,1,1,"sesonality1"
-0.044206154299685,-0.000115333733252395,0.0700588631092401,29,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0447434069348088,-2.93457916869786e-05,0.0715862554889962,30,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0427921202613551,0.000667195441024243,0.0724539771971546,31,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0437263975123053,-5.67994918529743e-05,0.0707791710175226,32,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0443914665648619,-0.000328351440471374,0.0688971540296521,33,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0431453158647285,-0.000469499931044012,0.0695652567838552,34,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0428732520017603,-0.000766385141242416,0.0693045507264798,35,"IC50_S_short",1,1,1,1,"sesonality1"
-0.043528045696676,-6.90830271345255e-05,0.0680666958979761,36,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0434213692233556,0.000524238384761156,0.0700031374604667,37,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0435475387691089,-0.00102937773542723,0.0679011669742241,38,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0426297834034242,8.27489922259313e-05,0.0701056326108485,39,"IC50_S_short",1,1,1,1,"sesonality1"
NA,NA,NA,40,"IC50_S_short",1,1,1,1,"sesonality1"
-0.0739984677283541,-0.0464371474927862,-0.0204404195658868,1,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0724682449663858,-0.0441369855446719,-0.0162530416593938,2,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0685762209497069,-0.0388865078031072,-0.0101141018782591,3,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0658799489458596,-0.0348378570784054,-0.00354059492980193,4,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0628817683512413,-0.0304524565151278,0.00212694618305711,5,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0578083857416462,-0.0236102532678466,0.0108437699197985,6,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0564505048483053,-0.0199344614780804,0.0200477712718564,7,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0518348421025609,-0.0147550887763269,0.0281192622442503,8,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0496668745425019,-0.0103509815120989,0.0388480726759415,9,"Resistance_Level",1,1,1,1,"sesonality1"
-0.046851991479936,-0.00673873823057611,0.0459520170197804,10,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0446012979292902,-0.00300218740744297,0.053077054539362,11,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0436622587485058,0.000298778124719223,0.0607670213942452,12,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0414643634690969,0.00342554827248196,0.0691494091199361,13,"Resistance_Level",1,1,1,1,"sesonality1"
-0.043070873366602,0.00176456165961664,0.0678152635721672,14,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0412684603088274,0.00608599253594099,0.0757021840191308,15,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0392414651029721,0.00999964342925553,0.0818532617613522,16,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0374884921023889,0.0124341683423816,0.0867072284436677,17,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0400681706948768,0.00914762503035548,0.0801381573156734,18,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0390340678831419,0.0094517545696215,0.0857539460577191,19,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0384965526011472,0.0124618505036478,0.0911270287739971,20,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0370544339401523,0.0135834305056959,0.0890763272710473,21,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0384740469459497,0.0125756729820622,0.0881254742002732,22,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0367876213769189,0.0152627362398423,0.0932003085433837,23,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0356524865365722,0.0148920363136171,0.0922643946986917,24,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0342447118638897,0.0178592801619722,0.0921554778426014,25,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0366609326415616,0.0152947429769384,0.09308528872696,26,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0344633652835522,0.0171999126739181,0.0966842336372701,27,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0333302413299948,0.0201459086730886,0.0969259563176736,28,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0330463114466163,0.0196921677509763,0.0985261516438182,29,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0330215327676166,0.0187187183156194,0.0958121233272417,30,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0318742174830592,0.0220256428932853,0.100333624385444,31,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0299362844835202,0.0226061912391061,0.103235719802239,32,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0314050038860375,0.0226739271736908,0.102114093575079,33,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0299118431634664,0.0240397536095339,0.103340371665278,34,"Resistance_Level",1,1,1,1,"sesonality1"
-0.029664158576197,0.024895331143597,0.103650720911494,35,"Resistance_Level",1,1,1,1,"sesonality1"
-0.030526819805767,0.0228131394378115,0.101063342047321,36,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0298611418529749,0.0220448728897462,0.102681160558813,37,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0276523120622123,0.0273049312053179,0.10342351612597,38,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0265831675883754,0.0268950528157828,0.105874336037003,39,"Resistance_Level",1,1,1,1,"sesonality1"
NA,NA,NA,40,"Resistance_Level",1,1,1,1,"sesonality1"
-0.0342220378465149,0.0156264861926266,0.0931782997495525,1,"half_life_short",1,1,1,1,"sesonality1"
-0.0332353805868338,0.0169073193889986,0.0936539871400454,2,"half_life_short",1,1,1,1,"sesonality1"
-0.0375032558493427,0.0123292722928411,0.0900749981947851,3,"half_life_short",1,1,1,1,"sesonality1"
